DATE,CES4349300001
1/1/1990,409.4
2/1/1990,409
3/1/1990,409.6
4/1/1990,410.4
5/1/1990,409.2
6/1/1990,410.4
7/1/1990,410.4
8/1/1990,409.3
9/1/1990,410.9
10/1/1990,409.1
11/1/1990,408.4
12/1/1990,407.8
1/1/1991,408.1
2/1/1991,406.5
3/1/1991,406.2
4/1/1991,404.3
5/1/1991,402.5
6/1/1991,404.5
7/1/1991,404.3
8/1/1991,405.4
9/1/1991,405.9
10/1/1991,406.9
11/1/1991,407.2
12/1/1991,408.6
1/1/1992,406.5
2/1/1992,406.8
3/1/1992,406.5
4/1/1992,407.2
5/1/1992,407.8
6/1/1992,408.4
7/1/1992,408.4
8/1/1992,408.9
9/1/1992,410.1
10/1/1992,408.8
11/1/1992,409.4
12/1/1992,410.7
1/1/1993,411.7
2/1/1993,412.8
3/1/1993,413.2
4/1/1993,414.3
5/1/1993,415.2
6/1/1993,415.1
7/1/1993,416.3
8/1/1993,416.6
9/1/1993,417.4
10/1/1993,419.7
11/1/1993,419.6
12/1/1993,420.4
1/1/1994,422.3
2/1/1994,425
3/1/1994,427.6
4/1/1994,429.2
5/1/1994,430.3
6/1/1994,432
7/1/1994,434.4
8/1/1994,436.2
9/1/1994,439.3
10/1/1994,441.1
11/1/1994,443
12/1/1994,444.6
1/1/1995,444.8
2/1/1995,444.6
3/1/1995,444.4
4/1/1995,445.3
5/1/1995,445.9
6/1/1995,446.9
7/1/1995,446.8
8/1/1995,448.1
9/1/1995,448.1
10/1/1995,447.7
11/1/1995,449.3
12/1/1995,449.8
1/1/1996,451.2
2/1/1996,452.1
3/1/1996,452.4
4/1/1996,452.8
5/1/1996,453.9
6/1/1996,455.1
7/1/1996,455.4
8/1/1996,454.5
9/1/1996,455.1
10/1/1996,456.4
11/1/1996,458.9
12/1/1996,457.9
1/1/1997,457.1
2/1/1997,459.1
3/1/1997,460.9
4/1/1997,461.8
5/1/1997,461.5
6/1/1997,463.2
7/1/1997,465
8/1/1997,466.3
9/1/1997,467.3
10/1/1997,468.8
11/1/1997,469.9
12/1/1997,470.6
1/1/1998,471
2/1/1998,471.2
3/1/1998,472.8
4/1/1998,473.1
5/1/1998,475.1
6/1/1998,476
7/1/1998,477
8/1/1998,479.2
9/1/1998,481.1
10/1/1998,482.2
11/1/1998,483.7
12/1/1998,485.2
1/1/1999,486.6
2/1/1999,489.6
3/1/1999,490.2
4/1/1999,492.7
5/1/1999,494.7
6/1/1999,496
7/1/1999,496.8
8/1/1999,498.5
9/1/1999,501.4
10/1/1999,504
11/1/1999,506.5
12/1/1999,509.9
1/1/2000,510.2
2/1/2000,511.3
3/1/2000,512.7
4/1/2000,514.2
5/1/2000,514.1
6/1/2000,519.3
7/1/2000,518.7
8/1/2000,520
9/1/2000,520.8
10/1/2000,521.3
11/1/2000,524.2
12/1/2000,526.7
1/1/2001,524.5
2/1/2001,523.4
3/1/2001,523.9
4/1/2001,523.7
5/1/2001,522.9
6/1/2001,520.6
7/1/2001,518.6
8/1/2001,518.4
9/1/2001,512
10/1/2001,508.5
11/1/2001,504.7
12/1/2001,506.4
1/1/2002,510.8
2/1/2002,517.6
3/1/2002,513.3
4/1/2002,513.5
5/1/2002,516.1
6/1/2002,518.4
7/1/2002,517.6
8/1/2002,524.6
9/1/2002,526
10/1/2002,527.7
11/1/2002,527.3
12/1/2002,527
1/1/2003,525.3
2/1/2003,532.5
3/1/2003,526.6
4/1/2003,528.5
5/1/2003,529.5
6/1/2003,528.8
7/1/2003,529.7
8/1/2003,531.9
9/1/2003,535.5
10/1/2003,538.6
11/1/2003,540.2
12/1/2003,534.3
1/1/2004,546.9
2/1/2004,550.3
3/1/2004,555.5
4/1/2004,558.4
5/1/2004,554.5
6/1/2004,558.7
7/1/2004,562.1
8/1/2004,562.9
9/1/2004,566.9
10/1/2004,576.7
11/1/2004,575
12/1/2004,575.3
1/1/2005,578.6
2/1/2005,582.7
