DATE,DMANEMP
1/1/1939,4380
2/1/1939,4454
3/1/1939,4518
4/1/1939,4550
5/1/1939,4544
6/1/1939,4561
7/1/1939,4470
8/1/1939,4578
9/1/1939,4740
10/1/1939,4945
11/1/1939,5007
12/1/1939,5097
1/1/1940,5061
2/1/1940,5058
3/1/1940,5064
4/1/1940,5045
5/1/1940,5067
6/1/1940,5090
7/1/1940,5022
8/1/1940,5243
9/1/1940,5411
10/1/1940,5554
11/1/1940,5693
12/1/1940,5836
1/1/1941,5947
2/1/1941,6110
3/1/1941,6249
4/1/1941,6454
5/1/1941,6638
6/1/1941,6814
7/1/1941,6941
8/1/1941,7055
9/1/1941,7189
10/1/1941,7274
11/1/1941,7323
12/1/1941,7386
1/1/1942,7483
2/1/1942,7629
3/1/1942,7797
4/1/1942,7976
5/1/1942,8168
6/1/1942,8343
7/1/1942,8555
8/1/1942,8817
9/1/1942,9008
10/1/1942,9216
11/1/1942,9411
12/1/1942,9702
1/1/1943,9923
2/1/1943,10090
3/1/1943,10264
4/1/1943,10381
5/1/1943,10470
6/1/1943,10603
7/1/1943,10709
8/1/1943,10787
9/1/1943,10865
10/1/1943,10972
11/1/1943,11032
12/1/1943,10990
1/1/1944,10902
2/1/1944,10793
3/1/1944,10646
4/1/1944,10498
5/1/1944,10424
6/1/1944,10350
7/1/1944,10283
8/1/1944,10254
9/1/1944,10189
10/1/1944,10094
11/1/1944,10009
12/1/1944,10085
1/1/1945,10106
2/1/1945,10039
3/1/1945,9933
4/1/1945,9791
5/1/1945,9643
6/1/1945,9381
7/1/1945,9091
8/1/1945,8775
9/1/1945,7087
10/1/1945,7010
11/1/1945,7008
12/1/1945,6917
1/1/1946,7021
2/1/1946,6137
3/1/1946,6673
4/1/1946,7250
5/1/1946,7389
6/1/1946,7565
7/1/1946,7739
8/1/1946,7938
9/1/1946,8095
10/1/1946,8153
11/1/1946,8202
12/1/1946,8198
1/1/1947,8150
2/1/1947,8136
3/1/1947,8100
4/1/1947,8093
5/1/1947,8041
6/1/1947,8073
7/1/1947,7908
8/1/1947,7973
9/1/1947,8043
10/1/1947,8114
11/1/1947,8123
12/1/1947,8130
1/1/1948,8132
2/1/1948,8052
3/1/1948,8049
4/1/1948,7980
5/1/1948,7969
6/1/1948,7943
7/1/1948,8023
8/1/1948,8037
9/1/1948,8073
10/1/1948,8102
11/1/1948,8041
12/1/1948,7898
1/1/1949,7754
2/1/1949,7652
3/1/1949,7515
4/1/1949,7408
5/1/1949,7254
6/1/1949,7177
7/1/1949,7115
8/1/1949,7134
9/1/1949,7196
10/1/1949,6801
11/1/1949,6849
12/1/1949,7031
1/1/1950,7123
2/1/1950,7118
3/1/1950,7193
4/1/1950,7358
5/1/1950,7629
6/1/1950,7761
7/1/1950,7880
8/1/1950,8160
9/1/1950,8231
10/1/1950,8396
11/1/1950,8427
12/1/1950,8444
1/1/1951,8546
2/1/1951,8645
3/1/1951,8718
4/1/1951,8763
5/1/1951,8771
6/1/1951,8789
7/1/1951,8761
8/1/1951,8768
9/1/1951,8755
10/1/1951,8755
11/1/1951,8782
12/1/1951,8800
1/1/1952,8817
2/1/1952,8853
3/1/1952,8872
4/1/1952,8906
5/1/1952,8904
6/1/1952,8563
7/1/1952,8407
8/1/1952,8956
9/1/1952,9196
10/1/1952,9303
11/1/1952,9418
12/1/1952,9538
1/1/1953,9624
2/1/1953,9708
3/1/1953,9808
4/1/1953,9818
5/1/1953,9841
6/1/1953,9846
7/1/1953,9860
8/1/1953,9809
9/1/1953,9719
10/1/1953,9586
11/1/1953,9374
12/1/1953,9269
1/1/1954,9166
2/1/1954,9042
3/1/1954,8936
4/1/1954,8828
5/1/1954,8757
6/1/1954,8707
7/1/1954,8610
8/1/1954,8583
9/1/1954,8597
10/1/1954,8626
11/1/1954,8680
12/1/1954,8716
1/1/1955,8766
2/1/1955,8854
3/1/1955,8946
4/1/1955,9039
5/1/1955,9141
6/1/1955,9212
7/1/1955,9249
8/1/1955,9290
9/1/1955,9300
10/1/1955,9327
11/1/1955,9368
12/1/1955,9412
1/1/1956,9436
2/1/1956,9427
3/1/1956,9383
4/1/1956,9467
5/1/1956,9445
6/1/1956,9403
7/1/1956,9073
8/1/1956,9475
9/1/1956,9461
10/1/1956,9524
11/1/1956,9533
12/1/1956,9563
1/1/1957,9578
2/1/1957,9614
3/1/1957,9603
4/1/1957,9583
5/1/1957,9561
6/1/1957,9523
7/1/1957,9505
8/1/1957,9537
9/1/1957,9385
10/1/1957,9299
11/1/1957,9177
12/1/1957,9054
1/1/1958,8866
2/1/1958,8678
3/1/1958,8516
4/1/1958,8369
5/1/1958,8275
6/1/1958,8267
7/1/1958,8308
8/1/1958,8373
9/1/1958,8500
10/1/1958,8327
11/1/1958,8624
12/1/1958,8660
1/1/1959,8740
2/1/1959,8839
3/1/1959,8965
4/1/1959,9077
5/1/1959,9160
6/1/1959,9209
7/1/1959,9266
8/1/1959,8826
9/1/1959,8873
10/1/1959,8803
11/1/1959,8922
12/1/1959,9189
1/1/1960,9289
2/1/1960,9358
3/1/1960,9301
4/1/1960,9242
5/1/1960,9169
6/1/1960,9078
7/1/1960,9035
8/1/1960,9007
9/1/1960,8985
10/1/1960,8902
11/1/1960,8802
12/1/1960,8681
1/1/1961,8592
2/1/1961,8532
3/1/1961,8527
4/1/1961,8552
5/1/1961,8657
6/1/1961,8688
7/1/1961,8735
8/1/1961,8787
9/1/1961,8779
10/1/1961,8818
11/1/1961,8910
12/1/1961,8941
1/1/1962,8948
2/1/1962,9029
3/1/1962,9065
4/1/1962,9102
5/1/1962,9110
6/1/1962,9109
7/1/1962,9117
8/1/1962,9110
9/1/1962,9149
10/1/1962,9162
11/1/1962,9135
12/1/1962,9136
1/1/1963,9157
2/1/1963,9163
3/1/1963,9169
4/1/1963,9196
5/1/1963,9228
6/1/1963,9226
7/1/1963,9234
8/1/1963,9229
9/1/1963,9260
10/1/1963,9283
