"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),Total,Total,Total,Total,Total,Total
,,,,,1990,1995,2000,2005,2010,2015
1,WORLD,,900,, 152 563 212, 160 801 752, 172 703 309, 191 269 100, 221 714 243, 243 700 236
2,Developed regions,(b),901,, 82 378 628, 92 306 854, 103 375 363, 117 181 109, 132 560 325, 140 481 955
3,Developing regions,(c),902,, 70 184 584, 68 494 898, 69 327 946, 74 087 991, 89 153 918, 103 218 281
4,Least developed countries,(d),941,, 11 075 966, 11 711 703, 10 077 824, 9 809 634, 10 018 128, 11 951 316
5,Less developed regions excluding least developed countries,,934,, 59 108 618, 56 783 195, 59 250 122, 64 278 357, 79 135 790, 91 266 965
6,Sub-Saharan Africa,(e),947,, 14 690 319, 15 324 570, 13 716 539, 13 951 086, 15 496 764, 18 993 986
7,Africa,,903,, 15 690 623, 16 352 814, 14 800 306, 15 191 146, 16 840 014, 20 649 557
8,Eastern Africa,,910,, 5 964 031, 5 022 742, 4 844 795, 4 745 792, 4 657 063, 6 129 113
9,Burundi,,108,B R,  333 110,  254 853,  125 628,  172 874,  235 259,  286 810
10,Comoros,,174,B,  14 079,  13 939,  13 799,  13 209,  12 618,  12 555
11,Djibouti,,262,B R,  122 221,  99 774,  100 507,  92 091,  101 575,  112 351
12,Eritrea,,232,I,  11 848,  12 400,  12 952,  14 314,  15 676,  15 941
13,Ethiopia,,231,B R, 1 155 390,  806 904,  611 384,  514 242,  567 720, 1 072 949
14,Kenya,,404,B R,  297 292,  618 745,  699 139,  756 894,  926 959, 1 084 357
15,Madagascar,,450,C,  23 917,  21 177,  23 541,  26 058,  28 905,  32 075
16,Malawi,,454,B R, 1 127 724,  241 624,  232 620,  221 661,  217 722,  215 158
17,Mauritius,(1),480,C,  3 613,  7 493,  15 543,  19 647,  24 836,  28 585
18,Mayotte,,175,B,  15 229,  26 316,  45 474,  63 176,  72 757,  76 992
19,Mozambique,,508,B R,  122 332,  168 256,  195 702,  204 830,  214 612,  222 928
20,Réunion,,638,B,  57 210,  77 159,  100 678,  115 076,  123 029,  127 209
21,Rwanda,,646,B R,  159 869,  233 200,  347 076,  432 797,  436 787,  441 525
22,Seychelles,,690,B,  3 721,  5 148,  6 574,  8 997,  11 420,  12 791
23,Somalia,,706,I R,  478 294,  19 527,  20 087,  20 670,  23 995,  25 291
24,South Sudan,,728,B R,0,0,0,0,  257 905,  824 122
25,Uganda,,800,B R,  558 307,  634 620,  634 703,  652 968,  529 160,  749 471
26,United Republic of Tanzania,(2),834,B R,  574 025, 1 106 043,  928 180,  770 846,  308 600,  261 222
27,Zambia,,894,B R,  279 029,  244 338,  321 167,  252 749,  149 637,  127 915
28,Zimbabwe,,716,B R,  626 821,  431 226,  410 041,  392 693,  397 891,  398 866
29,Middle Africa,,911,, 1 460 530, 2 646 108, 1 756 687, 1 928 828, 2 139 979, 2 307 688
30,Angola,,24,B R,  33 517,  39 813,  46 108,  61 329,  76 549,  106 845
31,Cameroon,,120,B,  265 344,  246 864,  228 383,  258 737,  289 091,  381 984
32,Central African Republic,,140,C,  67 234,  99 712,  123 529,  94 449,  93 466,  81 598
33,Chad,,148,B R,  74 342,  89 584,  104 825,  352 062,  416 924,  516 968
34,Congo,,178,B,  129 597,  191 635,  305 002,  315 238,  419 649,  392 996
35,Democratic Republic of the Congo,,180,B R,  754 194, 1 816 963,  744 387,  622 869,  588 950,  545 694
36,Equatorial Guinea,,226,C,  2 740,  3 629,  4 517,  6 588,  8 658,  10 825
37,Gabon,,266,C,  127 980,  152 972,  195 571,  214 123,  243 992,  268 384
38,Sao Tome and Principe,,678,C,  5 582,  4 936,  4 365,  3 433,  2 700,  2 394
39,Northern Africa,,912,, 2 403 200, 2 081 640, 1 885 650, 1 782 054, 1 921 613, 2 159 048
40,Algeria,,12,C R,  273 954,  262 032,  250 110,  247 537,  244 964,  242 391
41,Egypt,,818,B R,  173 708,  166 955,  173 452,  274 001,  295 714,  491 643
42,Libya,,434,C,  457 075,  508 041,  567 436,  625 212,  683 998,  771 146
43,Morocco,,504,C,  54 895,  50 360,  53 034,  54 379,  70 909,  88 511
44,Sudan,(3),729,B R, 1 402 896, 1 053 396,  801 883,  541 994,  578 363,  503 477
45,Tunisia,,788,C,  37 984,  37 867,  36 446,  35 040,  43 172,  56 701
46,Western Sahara,,732,I,  2 688,  2 989,  3 289,  3 891,  4 493,  5 179
47,Southern Africa,,913,, 1 392 359, 1 191 582, 1 222 314, 1 439 426, 2 203 306, 3 435 194
48,Botswana,,72,C,  27 510,  40 168,  57 064,  88 829,  120 912,  160 644
49,Lesotho,,426,C R,  8 240,  7 204,  6 167,  6 290,  6 414,  6 572
50,Namibia,,516,B,  120 641,  115 372,  134 403,  106 274,  102 405,  93 888
51,South Africa,,710,B R, 1 163 883, 1 003 807, 1 001 825, 1 210 936, 1 943 099, 3 142 511
52,Swaziland,,748,B R,  72 085,  25 031,  22 855,  27 097,  30 476,  31 579
53,Western Africa,,914,, 4 470 503, 5 410 742, 5 090 860, 5 295 046, 5 918 053, 6 618 514
54,Benin,,204,C B R,  76 212,  104 971,  133 730,  171 499,  209 267,  245 399
55,Burkina Faso,,854,B R,  349 657,  434 848,  520 039,  596 972,  673 904,  704 676
56,Cabo Verde,,132,B,  8 931,  9 979,  11 027,  12 700,  14 373,  14 924
57,Côte d'Ivoire,,384,C B, 1 816 426, 2 076 394, 1 994 135, 2 010 824, 2 095 185, 2 175 399
58,Gambia,,270,B,  118 123,  150 890,  182 514,  181 905,  185 763,  192 540
59,Ghana,,288,B,  164 851,  252 879,  191 601,  304 436,  337 017,  399 471
60,Guinea,,324,C R,  403 621,  774 505,  560 075,  229 611,  205 111,  228 413
61,Guinea-Bissau,,624,B R,  15 368,  27 961,  20 450,  20 736,  21 061,  22 333
62,Liberia,,430,B,  94 964,  208 563,  151 868,  87 188,  99 129,  113 779
63,Mali,,466,B R,  160 736,  176 187,  189 475,  256 797,  336 607,  363 145
64,Mauritania,,478,C R,  111 650,  89 562,  57 366,  58 119,  84 679,  138 162
65,Niger,,562,B R,  115 464,  145 999,  122 260,  124 461,  126 464,  189 255
66,Nigeria,,566,C R,  456 621,  462 999,  487 882,  648 019,  920 118, 1 199 115
67,Saint Helena,(4),654,B,   383,   394,   405,   487,   569,   604
68,Senegal,,686,B R,  270 410,  287 654,  231 901,  238 298,  256 092,  263 242
69,Sierra Leone,,694,B R,  222 242,  105 374,  98 241,  149 615,  97 452,  91 213
70,Togo,,768,C R,  84 844,  101 583,  137 891,  203 379,  255 262,  276 844
71,Asia,,935,, 48 142 261, 46 548 225, 49 340 815, 53 371 224, 65 914 319, 75 081 125
72,Central Asia,,5500,, 6 630 683, 5 890 035, 5 183 872, 5 238 699, 5 262 414, 5 393 504
73,Kazakhstan,,398,B, 3 619 200, 3 245 250, 2 871 300, 3 102 962, 3 334 623, 3 546 778
74,Kyrgyzstan,,417,B,  623 083,  510 296,  389 558,  312 897,  231 511,  204 382
75,Tajikistan,,762,B,  428 900,  348 347,  299 266,  280 444,  278 152,  275 059
76,Turkmenistan,,795,B,  306 500,  273 565,  218 498,  213 051,  197 979,  196 386
77,Uzbekistan,,860,B, 1 653 000, 1 512 577, 1 405 250, 1 329 345, 1 220 149, 1 170 899
78,Eastern Asia,,906,, 3 959 345, 4 658 475, 5 393 081, 6 229 524, 7 061 814, 7 596 693
79,China,(5),156,C,  376 361,  442 198,  508 034,  678 947,  849 861,  978 046
80,"China, Hong Kong Special Administrative Region",(6),344,B, 2 218 473, 2 443 798, 2 669 122, 2 721 235, 2 779 950, 2 838 665
81,"China, Macao Special Administrative Region",(7),446,B,  205 047,  224 929,  240 791,  279 308,  318 506,  342 703
82,Democratic People's Republic of Korea,,408,I,  34 103,  35 143,  36 183,  40 097,  44 010,  48 458
83,Japan,,392,C, 1 075 626, 1 381 097, 1 686 567, 2 012 916, 2 134 151, 2 043 877
84,Mongolia,,496,C,  6 718,  7 424,  8 206,  11 475,  16 061,  17 620
85,Republic of Korea,,410,C,  43 017,  123 886,  244 178,  485 546,  919 275, 1 327 324
86,South-Eastern Asia,,920,, 2 876 616, 3 700 057, 4 926 833, 6 522 343, 8 661 853, 9 867 722
87,Brunei Darussalam,,96,B,  73 200,  84 748,  96 296,  98 441,  100 587,  102 733
88,Cambodia,,116,B,  38 375,  92 230,  146 085,  114 031,  81 977,  73 963
89,Indonesia,,360,B R,  465 612,  378 960,  292 307,  289 568,  305 416,  328 846
90,Lao People's Democratic Republic,,418,C R,  22 866,  23 526,  21 948,  20 371,  21 185,  22 244
91,Malaysia,(8),458,C R,  695 920,  937 368, 1 277 223, 1 722 344, 2 406 011, 2 514 243
92,Myanmar,,104,C,  133 545,  113 663,  98 011,  83 025,  76 414,  73 308
93,Philippines,,608,C R,  154 071,  207 345,  318 095,  257 468,  208 599,  211 862
94,Singapore,,702,B,  727 262,  991 492, 1 351 691, 1 710 594, 2 164 794, 2 543 638
95,Thailand,,764,B R,  528 693,  809 720, 1 257 821, 2 163 447, 3 224 131, 3 913 258
96,Timor-Leste,,626,B,  8 954,  9 743,  10 602,  11 286,  10 983,  10 834
97,Viet Nam,,704,C R,  28 118,  51 262,  56 754,  51 768,  61 756,  72 793
98,Southern Asia,,5501,, 19 436 343, 15 343 019, 15 278 020, 13 722 011, 14 326 591, 14 103 682
99,Afghanistan,,4,B,  57 686,  71 522,  75 917,  87 300,  102 246,  382 365
100,Bangladesh,,50,B R,  881 617,  934 735,  987 853, 1 166 700, 1 345 546, 1 422 805
101,Bhutan,,64,B,  23 807,  27 972,  32 137,  40 279,  48 420,  51 106
102,India,,356,B R, 7 493 204, 6 952 238, 6 411 272, 5 923 642, 5 436 012, 5 240 960
103,Iran (Islamic Republic of),,364,B R, 4 291 601, 2 937 668, 2 803 805, 2 568 930, 2 761 561, 2 726 420
104,Maldives,,462,C R,  8 689,  18 510,  27 092,  45 045,  73 604,  94 086
105,Nepal,,524,B R,  429 974,  690 225,  717 900,  679 457,  578 657,  518 278
106,Pakistan,,586,B R, 6 208 204, 3 669 308, 4 181 912, 3 171 132, 3 941 586, 3 628 956
107,Sri Lanka,,144,B R,  41 561,  40 841,  40 132,  39 526,  38 959,  38 706
108,Western Asia,,922,, 15 239 274, 16 956 639, 18 559 009, 21 658 647, 30 601 647, 38 119 524
109,Armenia,,51,B R,  658 789,  693 999,  657 900,  469 119,  221 560,  191 199
110,Azerbaijan,(9),31,B R,  360 600,  344 070,  327 540,  302 220,  276 901,  264 241
111,Bahrain,,48,C,  173 212,  205 979,  239 361,  404 018,  657 856,  704 137
112,Cyprus,(10),196,B,  43 805,  61 941,  80 076,  117 165,  187 923,  196 167
113,Georgia,(11),268,B,  338 300,  278 450,  218 600,  199 805,  182 202,  168 802
114,Iraq,,368,C R,  83 638,  199 460,  210 525,  132 915,  117 389,  353 881
115,Israel,,376,B R, 1 632 704, 1 792 185, 1 851 309, 1 889 503, 1 950 615, 2 011 727
116,Jordan,,400,C R, 1 146 349, 1 537 097, 1 927 845, 2 325 414, 2 722 983, 3 112 026
117,Kuwait,,414,C R, 1 074 391,  921 954, 1 127 640, 1 333 327, 1 871 537, 2 866 136
118,Lebanon,,422,B R,  523 693,  608 303,  692 913,  756 784,  820 655, 1 997 776
119,Oman,,512,C,  304 000,  539 643,  623 608,  666 160,  816 221, 1 844 978
120,Qatar,,634,C,  309 753,  361 673,  359 697,  646 026, 1 456 413, 1 687 640
121,Saudi Arabia,,682,C R, 4 998 445, 5 122 702, 5 263 387, 6 501 819, 8 429 956, 10 185 945
122,State of Palestine,(12),275,B,  288 332,  281 767,  275 202,  266 617,  258 032,  255 507
123,Syrian Arab Republic,,760,C R,  714 140,  830 610,  832 273,  876 410, 1 661 922,  875 189
124,Turkey,,792,B R, 1 163 686, 1 216 173, 1 280 963, 1 319 236, 1 367 034, 2 964 916
125,United Arab Emirates,,784,C R, 1 306 574, 1 824 118, 2 446 675, 3 281 036, 7 316 611, 8 095 126
126,Yemen,,887,C R,  118 863,  136 515,  143 495,  171 073,  285 837,  344 131
127,Europe,,908,, 49 219 200, 52 842 663, 56 271 885, 64 086 824, 72 374 755, 76 145 954
128,Eastern Europe,,923,, 21 995 312, 21 344 124, 20 428 480, 19 747 392, 19 116 929, 19 684 357
129,Belarus,,112,B, 1 248 977, 1 186 282, 1 123 586, 1 106 982, 1 090 378, 1 082 905
130,Bulgaria,,100,B,  21 510,  32 435,  43 360,  61 074,  76 287,  102 113
131,Czech Republic,,203,C,  110 394,  165 592,  220 789,  322 540,  397 785,  405 093
132,Hungary,,348,B R,  347 510,  322 234,  296 957,  366 787,  436 616,  449 632
133,Poland,,616,B, 1 127 771,  964 725,  825 251,  722 509,  642 417,  619 403
134,Republic of Moldova,(13),498,B,  544 162,  367 231,  247 828,  173 957,  157 668,  142 904
135,Romania,,642,B,  135 825,  135 037,  126 949,  145 162,  155 982,  226 943
136,Russian Federation,,643,B, 11 524 948, 11 928 927, 11 900 297, 11 667 588, 11 194 710, 11 643 276
137,Slovakia,,703,B,  41 295,  69 323,  116 376,  130 491,  146 319,  177 190
138,Ukraine,,804,B, 6 892 920, 6 172 338, 5 527 087, 5 050 302, 4 818 767, 4 834 898
139,Northern Europe,,924,, 6 645 605, 7 194 824, 7 900 973, 9 588 814, 11 858 391, 13 331 442
140,Channel Islands,(14),830,B,  61 660,  60 519,  64 301,  70 941,  77 581,  82 307
141,Denmark,,208,B,  235 189,  303 108,  371 026,  440 383,  509 740,  572 520
142,Estonia,,233,B,  381 997,  315 755,  249 512,  233 701,  217 890,  202 348
143,Faeroe Islands,,234,B,  4 285,  2 900,  3 593,  4 583,  5 096,  5 517
144,Finland,(15),246,B,  63 255,  99 729,  136 203,  192 169,  248 135,  315 881
145,Iceland,,352,B,  9 584,  12 738,  15 892,  25 492,  35 091,  37 522
146,Ireland,,372,B,  227 961,  226 892,  350 552,  589 046,  730 542,  746 260
147,Isle of Man,,833,B,  34 769,  36 886,  39 002,  41 475,  43 447,  45 221
148,Latvia,,428,B,  646 007,  538 093,  430 178,  376 725,  313 786,  263 126
149,Lithuania,,440,B,  349 258,  273 587,  214 311,  201 209,  160 772,  136 036
150,Norway,(16),578,B,  192 587,  233 302,  292 440,  361 144,  526 799,  741 813
151,Sweden,,752,B,  788 767,  936 022, 1 003 798, 1 125 790, 1 384 929, 1 639 771
152,United Kingdom of Great Britain and Northern Ireland,,826,B, 3 650 286, 4 155 293, 4 730 165, 5 926 156, 7 604 583, 8 543 120
153,Southern Europe,,925,, 4 340 454, 5 985 675, 7 517 054, 11 974 334, 16 154 120, 15 747 685
154,Albania,,8,B,  66 013,  71 354,  76 695,  64 739,  52 784,  57 616
155,Andorra,,20,C,  38 904,  40 525,  42 146,  50 298,  52 053,  42 082
156,Bosnia and Herzegovina,,70,I R,  56 000,  69 476,  82 952,  47 272,  38 792,  34 803
157,Croatia,,191,B R,  475 438,  674 085,  585 298,  579 273,  573 248,  576 883
158,Gibraltar,,292,B,  8 709,  8 381,  8 054,  9 211,  10 369,  11 065
159,Greece,,300,B,  618 139,  857 850, 1 111 665, 1 190 707, 1 269 749, 1 242 514
160,Holy See,(17),336,I,   770,   779,   787,   793,   799,   800
161,Italy,,380,B, 1 428 219, 1 774 954, 2 121 688, 3 954 790, 5 787 893, 5 788 875
162,Malta,,470,B,  15 077,  17 740,  21 521,  24 560,  33 084,  41 442
163,Montenegro,,499,B,,,,,  78 507,  82 541
164,Portugal,,620,B,  435 782,  532 822,  651 472,  771 184,  762 825,  837 257
165,San Marino,,674,B,  3 310,  3 659,  4 045,  4 218,  4 399,  4 717
166,Serbia,(18),688,B,  99 269,  630 221,  856 763,  845 120,  826 066,  807 441
167,Slovenia,,705,B,  178 077,  174 419,  171 018,  197 276,  253 786,  235 966
168,Spain,(19),724,B,  821 605, 1 020 067, 1 657 285, 4 107 226, 6 280 065, 5 852 953
169,The former Yugoslav Republic of Macedonia,,807,B,  95 142,  109 343,  125 665,  127 667,  129 701,  130 730
170,Western Europe,,926,, 16 237 829, 18 318 040, 20 425 378, 22 776 284, 25 245 315, 27 382 470
171,Austria,,40,B,  793 239,  894 893,  996 547, 1 136 270, 1 275 992, 1 492 374
172,Belgium,,56,C,  891 537,  885 278,  853 369,  870 862, 1 052 844, 1 387 940
173,France,,250,B, 5 897 267, 6 087 993, 6 278 718, 6 737 600, 7 196 481, 7 784 418
174,Germany,,276,B, 5 936 181, 7 464 406, 8 992 631, 10 299 160, 11 605 690, 12 005 690
175,Liechtenstein,,438,B,  10 906,  13 311,  15 483,  18 898,  22 342,  23 493
176,Luxembourg,,442,B,  113 795,  126 106,  139 750,  150 618,  163 142,  249 325
177,Monaco,,492,B,  20 359,  21 060,  21 787,  21 312,  21 132,  21 042
178,Netherlands,,528,B, 1 182 263, 1 346 164, 1 556 337, 1 736 127, 1 832 510, 1 979 486
179,Switzerland,,756,B, 1 392 282, 1 478 829, 1 570 756, 1 805 437, 2 075 182, 2 438 702
180,Latin America and the Caribbean,,904,, 7 169 728, 6 694 640, 6 578 428, 7 233 098, 8 238 795, 9 233 989
181,Caribbean,,915,, 1 056 555, 1 154 700, 1 255 647, 1 328 740, 1 345 732, 1 367 407
182,Anguilla,,660,B,  2 570,  3 317,  4 063,  4 684,  5 103,  5 470
183,Antigua and Barbuda,,28,B,  12 029,  17 550,  23 071,  24 741,  26 412,  28 083
184,Aruba,,533,B,  14 444,  22 274,  30 104,  32 540,  34 327,  36 114
185,Bahamas,,44,B,  26 855,  31 654,  36 454,  45 595,  54 736,  59 306
186,Barbados,,52,B,  24 024,  26 224,  28 424,  30 624,  32 825,  34 475
187,"Bonaire, Sint Eustatius and Saba",(20),535,B,  38 410,  42 258,  46 105,  49 105,  11 445,  13 002
188,British Virgin Islands,,92,B,  8 035,  10 046,  12 058,  13 808,  15 558,  17 308
189,Cayman Islands,,136,C,  9 387,  14 320,  19 253,  21 655,  24 057,  23 726
190,Cuba,,192,B,  34 555,  26 187,  17 818,  17 023,  14 818,  13 336
191,Curaçao,,531,B,,,,,  34 627,  37 611
192,Dominica,,212,B,  2 519,  3 121,  3 723,  4 744,  5 765,  6 720
193,Dominican Republic,,214,B,  291 151,  323 381,  355 611,  376 001,  393 720,  415 564
194,Grenada,,308,B,  4 263,  5 544,  6 825,  6 902,  6 980,  7 057
195,Guadeloupe,(21),312,B,  65 944,  74 566,  83 188,  89 065,  94 942,  98 507
196,Haiti,,332,B,  19 084,  22 458,  25 832,  30 468,  35 104,  39 529
197,Jamaica,,388,B,  20 475,  22 713,  24 952,  24 314,  23 677,  23 167
