DATE,LNS12032197
5/1/1955,1805
6/1/1955,1755
7/1/1955,1912
8/1/1955,1881
9/1/1955,1864
10/1/1955,1836
11/1/1955,1872
12/1/1955,1884
1/1/1956,1847
2/1/1956,1874
3/1/1956,1678
4/1/1956,1846
5/1/1956,1992
6/1/1956,2088
7/1/1956,2026
8/1/1956,2107
9/1/1956,2138
10/1/1956,2036
11/1/1956,2018
12/1/1956,2009
1/1/1957,1923
2/1/1957,2086
3/1/1957,2091
4/1/1957,2034
5/1/1957,2127
6/1/1957,2187
7/1/1957,2207
8/1/1957,2133
9/1/1957,2158
10/1/1957,2249
11/1/1957,2378
12/1/1957,2501
1/1/1958,3022
2/1/1958,3174
3/1/1958,3440
4/1/1958,3334
5/1/1958,3306
6/1/1958,3019
7/1/1958,2771
8/1/1958,2808
9/1/1958,2756
10/1/1958,2646
11/1/1958,2414
12/1/1958,2514
1/1/1959,2511
2/1/1959,2314
3/1/1959,2475
4/1/1959,2310
5/1/1959,2123
6/1/1959,2205
7/1/1959,2302
8/1/1959,2282
9/1/1959,2205
10/1/1959,2423
11/1/1959,2469
12/1/1959,2462
1/1/1960,2287
2/1/1960,2379
3/1/1960,2197
4/1/1960,2545
5/1/1960,2413
6/1/1960,2577
7/1/1960,2552
8/1/1960,2558
9/1/1960,2755
10/1/1960,2737
11/1/1960,2864
12/1/1960,2960
1/1/1961,3087
2/1/1961,3278
3/1/1961,3024
4/1/1961,2994
5/1/1961,2932
6/1/1961,2748
7/1/1961,2727
8/1/1961,2731
9/1/1961,2647
10/1/1961,2563
11/1/1961,2549
12/1/1961,2405
1/1/1962,2161
2/1/1962,2296
3/1/1962,2414
4/1/1962,2280
5/1/1962,2403
6/1/1962,2290
7/1/1962,2369
8/1/1962,2288
9/1/1962,2390
10/1/1962,2398
11/1/1962,2485
12/1/1962,2322
1/1/1963,2298
2/1/1963,2282
3/1/1963,2281
4/1/1963,2296
5/1/1963,2249
6/1/1963,2288
7/1/1963,2179
8/1/1963,2419
9/1/1963,2381
10/1/1963,2330
11/1/1963,2277
12/1/1963,2200
1/1/1964,2120
2/1/1964,2232
3/1/1964,2166
4/1/1964,2246
5/1/1964,2205
6/1/1964,2173
7/1/1964,2062
8/1/1964,2043
9/1/1964,2114
10/1/1964,2119
11/1/1964,2025
12/1/1964,2143
1/1/1965,2108
2/1/1965,1973
3/1/1965,1994
4/1/1965,1927
5/1/1965,1983
6/1/1965,1898
7/1/1965,1986
8/1/1965,1963
9/1/1965,1776
10/1/1965,1859
11/1/1965,1884
12/1/1965,1761
1/1/1966,1797
2/1/1966,1637
3/1/1966,1627
4/1/1966,1629
5/1/1966,1706
6/1/1966,1737
7/1/1966,1723
8/1/1966,1563
9/1/1966,1616
10/1/1966,1592
11/1/1966,1566
12/1/1966,1807
1/1/1967,2048
2/1/1967,2077
3/1/1967,2039
4/1/1967,2104
5/1/1967,1702
6/1/1967,1838
7/1/1967,1850
8/1/1967,1765
9/1/1967,1875
10/1/1967,1840
11/1/1967,2034
12/1/1967,1832
1/1/1968,1653
2/1/1968,1819
3/1/1968,1748
4/1/1968,1659
5/1/1968,1714
6/1/1968,1826
7/1/1968,1727
8/1/1968,1705
9/1/1968,1659
10/1/1968,1658
11/1/1968,1742
12/1/1968,1697
1/1/1969,1721
2/1/1969,1707
3/1/1969,1810
4/1/1969,1686
5/1/1969,1746
6/1/1969,1854
7/1/1969,1750
8/1/1969,1875
9/1/1969,1907
10/1/1969,1897
11/1/1969,1855
12/1/1969,1869
1/1/1970,1980
2/1/1970,1888
3/1/1970,1965
4/1/1970,2310
5/1/1970,2228
6/1/1970,2155
7/1/1970,2279
8/1/1970,2214
9/1/1970,2123
10/1/1970,2377
11/1/1970,2373
12/1/1970,2544
1/1/1971,2543
2/1/1971,2510
3/1/1971,2501
4/1/1971,2474
5/1/1971,2482
6/1/1971,2227
7/1/1971,2421
8/1/1971,2443
9/1/1971,2355
10/1/1971,2500
11/1/1971,2583
12/1/1971,2418
1/1/1972,2487
2/1/1972,2340
3/1/1972,2433
4/1/1972,2520
5/1/1972,2387
6/1/1972,2580
7/1/1972,2514
8/1/1972,2548
9/1/1972,2424
10/1/1972,2316
11/1/1972,2253
12/1/1972,2192
1/1/1973,2043
2/1/1973,2182
3/1/1973,2172
4/1/1973,2150
5/1/1973,2216
6/1/1973,2543
7/1/1973,2490
8/1/1973,2444
9/1/1973,2424
10/1/1973,2424
11/1/1973,2437
12/1/1973,2571
1/1/1974,2525
2/1/1974,2673
3/1/1974,2472
4/1/1974,2377
5/1/1974,2667
6/1/1974,2577
7/1/1974,2610
8/1/1974,2745
9/1/1974,2917
10/1/1974,2975
11/1/1974,3229
12/1/1974,3347
1/1/1975,3716
2/1/1975,3655
3/1/1975,3789
4/1/1975,3827
5/1/1975,3714
6/1/1975,3514
7/1/1975,3442
8/1/1975,3400
9/1/1975,3348
10/1/1975,3376
11/1/1975,3333
12/1/1975,3305
1/1/1976,3424
2/1/1976,3288
3/1/1976,3247
4/1/1976,3266
5/1/1976,3329
6/1/1976,3170
7/1/1976,3220
8/1/1976,3259
9/1/1976,3421
10/1/1976,3473
11/1/1976,3541
12/1/1976,3467
1/1/1977,3391
2/1/1977,3547
3/1/1977,3372
4/1/1977,3234
5/1/1977,3326
6/1/1977,3375
7/1/1977,3480
8/1/1977,3318
9/1/1977,3379
10/1/1977,3324
11/1/1977,3350
12/1/1977,3303
1/1/1978,3163
2/1/1978,3312
3/1/1978,3279
4/1/1978,3370
5/1/1978,3289
6/1/1978,3427
7/1/1978,3345
8/1/1978,3364
9/1/1978,3335
10/1/1978,3269
11/1/1978,3236
12/1/1978,3151
1/1/1979,3259
2/1/1979,3267
3/1/1979,3285
4/1/1979,3373
5/1/1979,3349
6/1/1979,3441
7/1/1979,3385
8/1/1979,3455
9/1/1979,3266
10/1/1979,3339
11/1/1979,3469
12/1/1979,3568
1/1/1980,3526
2/1/1980,3531
3/1/1980,3500
4/1/1980,3922
5/1/1980,4428
6/1/1980,4270
7/1/1980,4240
8/1/1980,4374
9/1/1980,4266
10/1/1980,4234
11/1/1980,4207
12/1/1980,4184
1/1/1981,4312
2/1/1981,4169
3/1/1981,4221
4/1/1981,4148
5/1/1981,4286
6/1/1981,4170
7/1/1981,4492
8/1/1981,4476
9/1/1981,4558
10/1/1981,4983
11/1/1981,4979
12/1/1981,5298
1/1/1982,4830
2/1/1982,5436
3/1/1982,5618
4/1/1982,5757
5/1/1982,5775
6/1/1982,5717
7/1/1982,5722
8/1/1982,5909
9/1/1982,6385
10/1/1982,6458
11/1/1982,6356
12/1/1982,6366
1/1/1983,6446
2/1/1983,6329
3/1/1983,6194
4/1/1983,6029
5/1/1983,5929
6/1/1983,5966
7/1/1983,5868
8/1/1983,5947
9/1/1983,5984
10/1/1983,5728
11/1/1983,5867
12/1/1983,5669
1/1/1984,5708
2/1/1984,5697
3/1/1984,5492
4/1/1984,5524
5/1/1984,5310
6/1/1984,5599
7/1/1984,5484
8/1/1984,5383
9/1/1984,5494
10/1/1984,5475
11/1/1984,5393
12/1/1984,5576
1/1/1985,5390
2/1/1985,5072
3/1/1985,5433
4/1/1985,5355
5/1/1985,5511
6/1/1985,5318
7/1/1985,5335
8/1/1985,5460
9/1/1985,5345
10/1/1985,5232
11/1/1985,5281
12/1/1985,5282
1/1/1986,5282
2/1/1986,5096
3/1/1986,5298
4/1/1986,5563
5/1/1986,5633
6/1/1986,5368
7/1/1986,5178
8/1/1986,5307
9/1/1986,5370
10/1/1986,5512
11/1/1986,5265
12/1/1986,5342
1/1/1987,5177
2/1/1987,5302
3/1/1987,5153
4/1/1987,5071
5/1/1987,5108
6/1/1987,4949
7/1/1987,5194
8/1/1987,5056
9/1/1987,5034
10/1/1987,5180
11/1/1987,5250
12/1/1987,5028
1/1/1988,5072
2/1/1988,5051
3/1/1988,5042
4/1/1988,4894
5/1/1988,4694
6/1/1988,5039
7/1/1988,5237
8/1/1988,5027
9/1/1988,4845
10/1/1988,4777
11/1/1988,4780
12/1/1988,5088
1/1/1989,4777
2/1/1989,4632
3/1/1989,4635
4/1/1989,4846
5/1/1989,4645
6/1/1989,4776
7/1/1989,4673
8/1/1989,4645
9/1/1989,4584
10/1/1989,4520
11/1/1989,4572
12/1/1989,4600
1/1/1990,4621
2/1/1990,4587
3/1/1990,4627
4/1/1990,4728
5/1/1990,4782
6/1/1990,5009
7/1/1990,5039
8/1/1990,5108
9/1/1990,5097
10/1/1990,5201
11/1/1990,5243
12/1/1990,5414
1/1/1991,5150
2/1/1991,5695
3/1/1991,5784
4/1/1991,5999
5/1/1991,5780
6/1/1991,5759
7/1/1991,5856
8/1/1991,5896
9/1/1991,6123
10/1/1991,6134
11/1/1991,6209
12/1/1991,6220
1/1/1992,6320
2/1/1992,6278
3/1/1992,6223
4/1/1992,6143
5/1/1992,6242
6/1/1992,6160
7/1/1992,6224
8/1/1992,6239
9/1/1992,6168
10/1/1992,6310
11/1/1992,6373
12/1/1992,6221
1/1/1993,5930
2/1/1993,6431
3/1/1993,6053
4/1/1993,6325
5/1/1993,6241
6/1/1993,6367
7/1/1993,6437
8/1/1993,6452
9/1/1993,6332
10/1/1993,6143
11/1/1993,6022
12/1/1993,6053
1/1/1994,4664
2/1/1994,4437
3/1/1994,4661
4/1/1994,4601
5/1/1994,4616
6/1/1994,4613
7/1/1994,4297
8/1/1994,4168
9/1/1994,4128
10/1/1994,4254
11/1/1994,4268
12/1/1994,4233
1/1/1995,4314
2/1/1995,4155
3/1/1995,4288
4/1/1995,4185
5/1/1995,4326
6/1/1995,4283
7/1/1995,4253
8/1/1995,4292
9/1/1995,4412
10/1/1995,4287
11/1/1995,4326
12/1/1995,4283
1/1/1996,3809
2/1/1996,4197
3/1/1996,4203
4/1/1996,4243
5/1/1996,4126
6/1/1996,4156
7/1/1996,4159
8/1/1996,4209
9/1/1996,4190
10/1/1996,4184
11/1/1996,3879
12/1/1996,4191
1/1/1997,3996
2/1/1997,4050
3/1/1997,3907
4/1/1997,4218
5/1/1997,3820
6/1/1997,3768
7/1/1997,3880
8/1/1997,3884
9/1/1997,3817
10/1/1997,3801
11/1/1997,3771
12/1/1997,3661
1/1/1998,3730
2/1/1998,3700
3/1/1998,3674
4/1/1998,3629
5/1/1998,3584
6/1/1998,3604
7/1/1998,3650
8/1/1998,3373
9/1/1998,3230
10/1/1998,3280
11/1/1998,3213
12/1/1998,3256
1/1/1999,3289
2/1/1999,3274
3/1/1999,3354
4/1/1999,3253
5/1/1999,3224
6/1/1999,3230
7/1/1999,3180
8/1/1999,3143
9/1/1999,3120
10/1/1999,2954
11/1/1999,3073
12/1/1999,3137
1/1/2000,3105
2/1/2000,3058
3/1/2000,3117
4/1/2000,3089
5/1/2000,3169
6/1/2000,3122
7/1/2000,3051
8/1/2000,3122
9/1/2000,3121
10/1/2000,3057
11/1/2000,3385
12/1/2000,3172
1/1/2001,3238
2/1/2001,3215
3/1/2001,3173
4/1/2001,3206
5/1/2001,3336
6/1/2001,3700
7/1/2001,3465
8/1/2001,3340
9/1/2001,4157
10/1/2001,4327
11/1/2001,4206
12/1/2001,4339
1/1/2002,4008
2/1/2002,4173
3/1/2002,4026
4/1/2002,4134
5/1/2002,3987
6/1/2002,3953
7/1/2002,4024
8/1/2002,4181
9/1/2002,4224
10/1/2002,4233
11/1/2002,4265
12/1/2002,4254
1/1/2003,4483
2/1/2003,4718
3/1/2003,4548
4/1/2003,4706
5/1/2003,4453
6/1/2003,4475
7/1/2003,4561
8/1/2003,4334
9/1/2003,4754
10/1/2003,4700
11/1/2003,4772
12/1/2003,4673
1/1/2004,4596
2/1/2004,4436
3/1/2004,4636
4/1/2004,4479
5/1/2004,4524
6/1/2004,4373
7/1/2004,4356
8/1/2004,4347
9/1/2004,4406
10/1/2004,4715
11/1/2004,4416
12/1/2004,4339
1/1/2005,4284
2/1/2005,4153
3/1/2005,4317
4/1/2005,4172
5/1/2005,4239
6/1/2005,4361
7/1/2005,4350
8/1/2005,4429
9/1/2005,4598
10/1/2005,4202
11/1/2005,4138
12/1/2005,4021
1/1/2006,4042
2/1/2006,4080
3/1/2006,3869
4/1/2006,3818
5/1/2006,4010
6/1/2006,4214
7/1/2006,4192
8/1/2006,4114
9/1/2006,4002
10/1/2006,4305
11/1/2006,4089
12/1/2006,4113
1/1/2007,4186
2/1/2007,4096
3/1/2007,4178
4/1/2007,4240
5/1/2007,4395
6/1/2007,4258
7/1/2007,4335
8/1/2007,4514
9/1/2007,4437
10/1/2007,4213
11/1/2007,4430
12/1/2007,4525
1/1/2008,4755
2/1/2008,4805
3/1/2008,4795
4/1/2008,5130
5/1/2008,5221
6/1/2008,5440
7/1/2008,5795
8/1/2008,5766
9/1/2008,6071
10/1/2008,6553
11/1/2008,7183
12/1/2008,7918
1/1/2009,7911
2/1/2009,8697
3/1/2009,9041
4/1/2009,8821
5/1/2009,8964
6/1/2009,8900
7/1/2009,8742
8/1/2009,8904
9/1/2009,8718
10/1/2009,8821
11/1/2009,9018
12/1/2009,8996
1/1/2010,8423
2/1/2010,8786
3/1/2010,9126
4/1/2010,9093
5/1/2010,8697
6/1/2010,8439
7/1/2010,8361
8/1/2010,8676
9/1/2010,9111
10/1/2010,8688
11/1/2010,8730
12/1/2010,8794
1/1/2011,8339
2/1/2011,8372
3/1/2011,8473
4/1/2011,8528
5/1/2011,8427
6/1/2011,8289
7/1/2011,8131
8/1/2011,8632
9/1/2011,9012
10/1/2011,8526
11/1/2011,8335
12/1/2011,8030
1/1/2012,8174
2/1/2012,8104
3/1/2012,7680
4/1/2012,7793
5/1/2012,7983
6/1/2012,7946
7/1/2012,7972
8/1/2012,7842
9/1/2012,8528
10/1/2012,8079
11/1/2012,8066
12/1/2012,7844
1/1/2013,8069
2/1/2013,8061
3/1/2013,7632
4/1/2013,7837
5/1/2013,7812
6/1/2013,7988
7/1/2013,7961
8/1/2013,7677
9/1/2013,7656
10/1/2013,7844
11/1/2013,7627
12/1/2013,7711
1/1/2014,7180
2/1/2014,7178
3/1/2014,7343
4/1/2014,7376
5/1/2014,7177
6/1/2014,7319
7/1/2014,7288
8/1/2014,7102
9/1/2014,6905
10/1/2014,6943
11/1/2014,6777
12/1/2014,6760
1/1/2015,6693
2/1/2015,6569
3/1/2015,6552
4/1/2015,6526
5/1/2015,6512
6/1/2015,6258
7/1/2015,6143
