DATE,LREM25MAUSM156S
1/1/1977,89.53227622
2/1/1977,89.71779422
3/1/1977,89.79325724
4/1/1977,90.00761762
5/1/1977,89.90864709
6/1/1977,90.18308481
7/1/1977,90.0234926
8/1/1977,90.25698949
9/1/1977,90.43113771
10/1/1977,90.40989296
11/1/1977,90.75503092
12/1/1977,91.00628376
1/1/1978,90.99243437
2/1/1978,90.90013827
3/1/1978,90.78240827
4/1/1978,91.06394469
5/1/1978,90.98703628
6/1/1978,91.13427931
7/1/1978,91.08223519
8/1/1978,90.8337011
9/1/1978,91.05653444
10/1/1978,91.00224789
11/1/1978,91.28012609
12/1/1978,91.20102839
1/1/1979,91.13180115
2/1/1979,91.29915203
3/1/1979,91.23826019
4/1/1979,91.02269398
5/1/1979,91.28220576
6/1/1979,91.39769906
7/1/1979,91.42014257
8/1/1979,91.09126165
9/1/1979,91.18860447
10/1/1979,91.07918835
11/1/1979,90.64740123
12/1/1979,91.00053801
1/1/1980,90.61013514
2/1/1980,90.44880249
3/1/1980,89.98728475
4/1/1980,89.47583881
5/1/1980,89.0637914
6/1/1980,88.89579233
7/1/1980,88.7456583
8/1/1980,88.69877156
9/1/1980,88.7222129
10/1/1980,89.09835022
11/1/1980,89.16232094
12/1/1980,89.19076017
1/1/1981,89.21383059
2/1/1981,89.01075372
3/1/1981,89.35055805
4/1/1981,89.64498497
5/1/1981,89.6337517
6/1/1981,89.16979873
7/1/1981,89.20637887
8/1/1981,89.12788478
9/1/1981,88.94873786
10/1/1981,88.55461834
11/1/1981,88.28902369
12/1/1981,87.6217942
1/1/1982,87.62085841
2/1/1982,87.68977061
3/1/1982,87.33532101
4/1/1982,87.17179427
5/1/1982,87.10960256
6/1/1982,86.58148432
7/1/1982,86.38863147
8/1/1982,86.23869466
9/1/1982,85.65166278
10/1/1982,85.43832278
11/1/1982,85.30135572
12/1/1982,85.23327608
1/1/1983,85.48163772
2/1/1983,85.27379918
3/1/1983,85.43276979
4/1/1983,85.52086686
5/1/1983,85.53217548
6/1/1983,85.97729195
7/1/1983,86.33554266
8/1/1983,86.32291348
9/1/1983,86.43868547
10/1/1983,86.68877383
11/1/1983,87.05151641
12/1/1983,87.47872542
1/1/1984,87.62796391
2/1/1984,87.86459389
3/1/1984,88.02431899
4/1/1984,87.97303876
5/1/1984,88.2290673
6/1/1984,88.70933437
7/1/1984,88.55925537
8/1/1984,88.79570354
9/1/1984,88.70990313
10/1/1984,88.76796174
11/1/1984,88.71927491
12/1/1984,88.68924974
1/1/1985,88.51568783
2/1/1985,88.62868437
3/1/1985,88.66377424
4/1/1985,88.48554948
5/1/1985,88.90482111
6/1/1985,88.46333962
7/1/1985,88.67349394
8/1/1985,88.73164839
9/1/1985,88.83113685
10/1/1985,88.89021776
11/1/1985,88.81752341
12/1/1985,88.69937585
1/1/1986,88.92254977
2/1/1986,88.44440904
3/1/1986,88.52149881
4/1/1986,88.45441341
5/1/1986,88.26809897
6/1/1986,88.50900409
7/1/1986,88.33790757
8/1/1986,88.69996868
9/1/1986,88.57416453
10/1/1986,88.25177422
11/1/1986,88.50294293
12/1/1986,88.71898286
1/1/1987,88.78362851
2/1/1987,88.7754122
3/1/1987,88.76431237
4/1/1987,88.7949087
5/1/1987,88.99537464
6/1/1987,88.93966012
7/1/1987,88.98796315
8/1/1987,89.13173909
9/1/1987,89.20100869
10/1/1987,89.16173254
11/1/1987,89.27270805
12/1/1987,89.23553372
1/1/1988,89.31843821
2/1/1988,89.42358567
3/1/1988,89.2809919
4/1/1988,89.73666317
5/1/1988,89.48584279
6/1/1988,89.44669506
7/1/1988,89.65777862
8/1/1988,89.49840651
9/1/1988,89.54821815
10/1/1988,89.56940012
