DATE,MANEMP
1/1/1939,9077
2/1/1939,9175
3/1/1939,9275
4/1/1939,9309
5/1/1939,9299
6/1/1939,9315
7/1/1939,9231
8/1/1939,9400
9/1/1939,9604
10/1/1939,9873
11/1/1939,9896
12/1/1939,9949
1/1/1940,9927
2/1/1940,9916
3/1/1940,9884
4/1/1940,9817
5/1/1940,9810
6/1/1940,9832
7/1/1940,9766
8/1/1940,10048
9/1/1940,10258
10/1/1940,10471
11/1/1940,10643
12/1/1940,10847
1/1/1941,10993
2/1/1941,11211
3/1/1941,11409
4/1/1941,11698
5/1/1941,11957
6/1/1941,12204
7/1/1941,12382
8/1/1941,12532
9/1/1941,12683
10/1/1941,12770
11/1/1941,12810
12/1/1941,12876
1/1/1942,12965
2/1/1942,13127
3/1/1942,13311
4/1/1942,13509
5/1/1942,13704
6/1/1942,13842
7/1/1942,14072
8/1/1942,14339
9/1/1942,14582
10/1/1942,14772
11/1/1942,14971
12/1/1942,15288
1/1/1943,15532
2/1/1943,15685
3/1/1943,15856
4/1/1943,15961
5/1/1943,16044
6/1/1943,16204
7/1/1943,16306
8/1/1943,16369
9/1/1943,16366
10/1/1943,16512
11/1/1943,16598
12/1/1943,16526
1/1/1944,16439
2/1/1944,16330
3/1/1944,16170
4/1/1944,16012
5/1/1944,15944
6/1/1944,15890
7/1/1944,15832
8/1/1944,15781
9/1/1944,15662
10/1/1944,15630
11/1/1944,15568
12/1/1944,15659
1/1/1945,15669
2/1/1945,15581
3/1/1945,15473
4/1/1945,15335
5/1/1945,15201
6/1/1945,14948
7/1/1945,14599
8/1/1945,14201
9/1/1945,12486
10/1/1945,12487
11/1/1945,12537
12/1/1945,12528
1/1/1946,12719
2/1/1946,11922
3/1/1946,12545
4/1/1946,13200
5/1/1946,13389
6/1/1946,13598
7/1/1946,13771
8/1/1946,13981
9/1/1946,14135
10/1/1946,14182
11/1/1946,14310
12/1/1946,14301
1/1/1947,14328
2/1/1947,14278
3/1/1947,14259
4/1/1947,14240
5/1/1947,14189
6/1/1947,14200
7/1/1947,14076
8/1/1947,14200
9/1/1947,14315
10/1/1947,14393
11/1/1947,14414
12/1/1947,14428
1/1/1948,14438
2/1/1948,14339
3/1/1948,14364
4/1/1948,14183
5/1/1948,14235
6/1/1948,14318
7/1/1948,14359
8/1/1948,14353
9/1/1948,14441
10/1/1948,14390
11/1/1948,14292
12/1/1948,14086
1/1/1949,13867
2/1/1949,13734
3/1/1949,13581
4/1/1949,13439
5/1/1949,13269
6/1/1949,13178
7/1/1949,13067
8/1/1949,13158
9/1/1949,13225
10/1/1949,12891
11/1/1949,12882
12/1/1949,13062
1/1/1950,13161
2/1/1950,13169
3/1/1950,13290
4/1/1950,13471
5/1/1950,13780
6/1/1950,13923
7/1/1950,14072
8/1/1950,14461
9/1/1950,14561
10/1/1950,14737
11/1/1950,14762
12/1/1950,14782
1/1/1951,14950
2/1/1951,15076
3/1/1951,15125
4/1/1951,15166
5/1/1951,15164
6/1/1951,15176
7/1/1951,15110
8/1/1951,15061
9/1/1951,14996
10/1/1951,14973
11/1/1951,14999
12/1/1951,15045
1/1/1952,15067
2/1/1952,15105
3/1/1952,15127
4/1/1952,15162
5/1/1952,15143
6/1/1952,14828
7/1/1952,14707
8/1/1952,15279
9/1/1952,15553
10/1/1952,15690
11/1/1952,15843
12/1/1952,15973
1/1/1953,16067
2/1/1953,16158
3/1/1953,16270
4/1/1953,16293
5/1/1953,16341
6/1/1953,16343
7/1/1953,16353
8/1/1953,16278
9/1/1953,16151
10/1/1953,15981
11/1/1953,15728
