DATE,PAYEMS
1/1/1939,29923
2/1/1939,30100
3/1/1939,30280
4/1/1939,30094
5/1/1939,30299
6/1/1939,30502
7/1/1939,30419
8/1/1939,30663
9/1/1939,31031
10/1/1939,31411
11/1/1939,31470
12/1/1939,31542
1/1/1940,31603
2/1/1940,31715
3/1/1940,31825
4/1/1940,31701
5/1/1940,31879
6/1/1940,31977
7/1/1940,31942
8/1/1940,32352
9/1/1940,32810
10/1/1940,33267
11/1/1940,33669
12/1/1940,34174
1/1/1941,34481
2/1/1941,34843
3/1/1941,35092
4/1/1941,35468
5/1/1941,36182
6/1/1941,36650
7/1/1941,37137
8/1/1941,37544
9/1/1941,37835
10/1/1941,37949
11/1/1941,38024
12/1/1941,38104
1/1/1942,38347
2/1/1942,38512
3/1/1942,38935
4/1/1942,39352
5/1/1942,39771
6/1/1942,40029
7/1/1942,40472
8/1/1942,40988
9/1/1942,41259
10/1/1942,41515
11/1/1942,41674
12/1/1942,41915
1/1/1943,42172
2/1/1943,42393
3/1/1943,42552
4/1/1943,42647
5/1/1943,42596
6/1/1943,42781
7/1/1943,42700
8/1/1943,42546
9/1/1943,42492
10/1/1943,42675
11/1/1943,42821
12/1/1943,42746
1/1/1944,42654
2/1/1944,42538
3/1/1944,42294
4/1/1944,42063
5/1/1944,41985
6/1/1944,41947
7/1/1944,41904
8/1/1944,41850
9/1/1944,41679
10/1/1944,41708
11/1/1944,41711
12/1/1944,41860
1/1/1945,41895
2/1/1945,41897
3/1/1945,41798
4/1/1945,41446
5/1/1945,41304
6/1/1945,41149
7/1/1945,40874
8/1/1945,40466
9/1/1945,38507
10/1/1945,38600
11/1/1945,38996
12/1/1945,39110
1/1/1946,39829
2/1/1946,39244
3/1/1946,40195
4/1/1946,40913
5/1/1946,41349
6/1/1946,41735
7/1/1946,42153
8/1/1946,42642
9/1/1946,42915
10/1/1946,43093
11/1/1946,43395
12/1/1946,43379
1/1/1947,43535
2/1/1947,43557
3/1/1947,43607
4/1/1947,43499
5/1/1947,43638
6/1/1947,43810
7/1/1947,43743
8/1/1947,43960
9/1/1947,44203
10/1/1947,44411
11/1/1947,44484
12/1/1947,44581
1/1/1948,44679
2/1/1948,44533
3/1/1948,44683
4/1/1948,44379
5/1/1948,44796
6/1/1948,45034
7/1/1948,45160
8/1/1948,45178
9/1/1948,45294
10/1/1948,45245
11/1/1948,45192
12/1/1948,45032
1/1/1949,44668
2/1/1949,44497
3/1/1949,44240
4/1/1949,44236
5/1/1949,43984
6/1/1949,43739
7/1/1949,43531
8/1/1949,43624
9/1/1949,43780
10/1/1949,42942
11/1/1949,43242
12/1/1949,43522
1/1/1950,43526
2/1/1950,43297
3/1/1950,43954
4/1/1950,44382
5/1/1950,44718
6/1/1950,45083
7/1/1950,45454
8/1/1950,46192
9/1/1950,46438
10/1/1950,46706
11/1/1950,46776
12/1/1950,46861
1/1/1951,47288
2/1/1951,47577
3/1/1951,47873
4/1/1951,47861
5/1/1951,47952
6/1/1951,48064
7/1/1951,48061
8/1/1951,48012
9/1/1951,47954
10/1/1951,48006
11/1/1951,48147
12/1/1951,48314
1/1/1952,48296
2/1/1952,48522
3/1/1952,48504
4/1/1952,48620
5/1/1952,48642
6/1/1952,48282
7/1/1952,48143
8/1/1952,48924
9/1/1952,49320
10/1/1952,49597
11/1/1952,49816
12/1/1952,50166
1/1/1953,50144
2/1/1953,50339
3/1/1953,50473
4/1/1953,50435
5/1/1953,50490
6/1/1953,50519
7/1/1953,50536
8/1/1953,50489
9/1/1953,50368
10/1/1953,50240
11/1/1953,49908
12/1/1953,49703
1/1/1954,49469
2/1/1954,49382
3/1/1954,49157
4/1/1954,49179
5/1/1954,48965
6/1/1954,48895
7/1/1954,48835
8/1/1954,48826
9/1/1954,48886
10/1/1954,48942
11/1/1954,49180
12/1/1954,49331
1/1/1955,49496
2/1/1955,49644
3/1/1955,49962
4/1/1955,50248
5/1/1955,50512
6/1/1955,50790
7/1/1955,50987
8/1/1955,51111
9/1/1955,51266
10/1/1955,51429
11/1/1955,51592
12/1/1955,51805
1/1/1956,51975
2/1/1956,52167
3/1/1956,52294
4/1/1956,52375
5/1/1956,52506
6/1/1956,52586
7/1/1956,51955
8/1/1956,52631
9/1/1956,52604
10/1/1956,52777
11/1/1956,52821
12/1/1956,52929
1/1/1957,52887
2/1/1957,53097
3/1/1957,53156
4/1/1957,53238
5/1/1957,53150
6/1/1957,53067
7/1/1957,53123
8/1/1957,53128
9/1/1957,52934
10/1/1957,52763
11/1/1957,52558
12/1/1957,52384
1/1/1958,52076
2/1/1958,51576
3/1/1958,51299
4/1/1958,51027
5/1/1958,50914
6/1/1958,50914
7/1/1958,51039
8/1/1958,51233
9/1/1958,51506
10/1/1958,51485
11/1/1958,51944
12/1/1958,52085
