DATE,SRVPRD
1/1/1939,18825
2/1/1939,18879
3/1/1939,18897
4/1/1939,18912
5/1/1939,19001
6/1/1939,19055
7/1/1939,19115
8/1/1939,19168
9/1/1939,19339
10/1/1939,19427
11/1/1939,19463
12/1/1939,19521
1/1/1940,19630
2/1/1940,19692
3/1/1940,19801
4/1/1940,19688
5/1/1940,19841
6/1/1940,19937
7/1/1940,19984
8/1/1940,20095
9/1/1940,20245
10/1/1940,20358
11/1/1940,20463
12/1/1940,20611
1/1/1941,20710
2/1/1941,20861
3/1/1941,20983
4/1/1941,21317
5/1/1941,21462
6/1/1941,21665
7/1/1941,21873
8/1/1941,22081
9/1/1941,22193
10/1/1941,22222
11/1/1941,22278
12/1/1941,22301
1/1/1942,22439
2/1/1942,22464
3/1/1942,22568
4/1/1942,22651
5/1/1942,22771
6/1/1942,22788
7/1/1942,22888
8/1/1942,23160
9/1/1942,23242
10/1/1942,23397
11/1/1942,23454
12/1/1942,23507
1/1/1943,23602
2/1/1943,23708
3/1/1943,23769
4/1/1943,23864
5/1/1943,23857
6/1/1943,23981
7/1/1943,23924
8/1/1943,23797
9/1/1943,23819
10/1/1943,23879
11/1/1943,23960
12/1/1943,23954
1/1/1944,23945
2/1/1944,23960
3/1/1944,23945
4/1/1944,23939
5/1/1944,23954
6/1/1944,24000
7/1/1944,24044
8/1/1944,24066
9/1/1944,24067
10/1/1944,24087
11/1/1944,24147
12/1/1944,24194
1/1/1945,24190
2/1/1945,24233
3/1/1945,24256
4/1/1945,24108
5/1/1945,24145
6/1/1945,24190
7/1/1945,24263
8/1/1945,24243
9/1/1945,24021
10/1/1945,24087
11/1/1945,24297
12/1/1945,24366
1/1/1946,24798
2/1/1946,24936
3/1/1946,25178
4/1/1946,25474
5/1/1946,25474
6/1/1946,25529
7/1/1946,25692
8/1/1946,25914
9/1/1946,26003
10/1/1946,26091
11/1/1946,26238
12/1/1946,26215
1/1/1947,26322
2/1/1947,26357
3/1/1947,26411
4/1/1947,26321
5/1/1947,26462
6/1/1947,26557
7/1/1947,26637
8/1/1947,26680
9/1/1947,26805
10/1/1947,26912
11/1/1947,26967
12/1/1947,27018
1/1/1948,27054
2/1/1948,27086
3/1/1948,27139
4/1/1948,27077
5/1/1948,27288
6/1/1948,27401
7/1/1948,27511
8/1/1948,27523
9/1/1948,27553
10/1/1948,27562
