DATE,USEHS
1/1/1939,1381
2/1/1939,1384
3/1/1939,1387
4/1/1939,1389
5/1/1939,1399
6/1/1939,1406
7/1/1939,1411
8/1/1939,1412
9/1/1939,1424
10/1/1939,1415
11/1/1939,1421
12/1/1939,1428
1/1/1940,1433
2/1/1940,1440
3/1/1940,1447
4/1/1940,1455
5/1/1940,1460
6/1/1940,1465
7/1/1940,1469
8/1/1940,1478
9/1/1940,1487
10/1/1940,1496
11/1/1940,1501
12/1/1940,1507
1/1/1941,1516
2/1/1941,1526
3/1/1941,1536
4/1/1941,1551
5/1/1941,1558
6/1/1941,1563
7/1/1941,1575
8/1/1941,1583
9/1/1941,1587
10/1/1941,1594
11/1/1941,1601
12/1/1941,1606
1/1/1942,1611
2/1/1942,1608
3/1/1942,1615
4/1/1942,1623
5/1/1942,1626
6/1/1942,1632
7/1/1942,1640
8/1/1942,1644
9/1/1942,1647
10/1/1942,1649
11/1/1942,1645
12/1/1942,1645
1/1/1943,1649
2/1/1943,1653
3/1/1943,1655
4/1/1943,1655
5/1/1943,1656
6/1/1943,1658
7/1/1943,1658
8/1/1943,1658
9/1/1943,1663
10/1/1943,1666
11/1/1943,1671
12/1/1943,1674
1/1/1944,1661
2/1/1944,1668
3/1/1944,1670
4/1/1944,1667
5/1/1944,1666
6/1/1944,1671
7/1/1944,1668
8/1/1944,1669
9/1/1944,1667
10/1/1944,1665
11/1/1944,1667
12/1/1944,1668
1/1/1945,1659
2/1/1945,1667
3/1/1945,1666
4/1/1945,1666
5/1/1945,1666
6/1/1945,1681
7/1/1945,1692
8/1/1945,1706
9/1/1945,1711
10/1/1945,1733
11/1/1945,1753
12/1/1945,1773
1/1/1946,1797
2/1/1946,1819
3/1/1946,1839
4/1/1946,1857
5/1/1946,1869
6/1/1946,1880
7/1/1946,1886
8/1/1946,1904
9/1/1946,1932
10/1/1946,1933
11/1/1946,1945
12/1/1946,1956
1/1/1947,1976
2/1/1947,1986
3/1/1947,1992
4/1/1947,1997
5/1/1947,2005
6/1/1947,2013
7/1/1947,2020
8/1/1947,2024
9/1/1947,2030
10/1/1947,2039
11/1/1947,2044
12/1/1947,2049
1/1/1948,2047
2/1/1948,2051
3/1/1948,2058
4/1/1948,2069
5/1/1948,2074
6/1/1948,2082
7/1/1948,2084
8/1/1948,2088
9/1/1948,2090
10/1/1948,2087
11/1/1948,2088
12/1/1948,2096
1/1/1949,2080
2/1/1949,2088
3/1/1949,2083
4/1/1949,2092
5/1/1949,2097
6/1/1949,2095
7/1/1949,2098
8/1/1949,2098
9/1/1949,2104
10/1/1949,2106
11/1/1949,2109
12/1/1949,2113
1/1/1950,2105
2/1/1950,2114
3/1/1950,2113
4/1/1950,2127
5/1/1950,2135
6/1/1950,2143
7/1/1950,2150
8/1/1950,2159
9/1/1950,2161
10/1/1950,2166
11/1/1950,2171
12/1/1950,2178
1/1/1951,2187
2/1/1951,2195
3/1/1951,2204
4/1/1951,2208
5/1/1951,2212
6/1/1951,2219
7/1/1951,2226
8/1/1951,2235
9/1/1951,2233
10/1/1951,2238
11/1/1951,2244
12/1/1951,2248
1/1/1952,2257
2/1/1952,2267
3/1/1952,2266
4/1/1952,2270
5/1/1952,2277
6/1/1952,2277
7/1/1952,2280
8/1/1952,2286
9/1/1952,2289
10/1/1952,2292
11/1/1952,2297
12/1/1952,2306
1/1/1953,2300
2/1/1953,2309
3/1/1953,2316
4/1/1953,2322
5/1/1953,2327
6/1/1953,2335
7/1/1953,2339
8/1/1953,2344
9/1/1953,2355
10/1/1953,2354
11/1/1953,2356
12/1/1953,2357
1/1/1954,2354
2/1/1954,2358
