DATE,USFIRE
1/1/1939,1371
2/1/1939,1372
3/1/1939,1376
4/1/1939,1370
5/1/1939,1379
6/1/1939,1381
7/1/1939,1386
8/1/1939,1392
9/1/1939,1406
10/1/1939,1398
11/1/1939,1400
12/1/1939,1405
1/1/1940,1409
2/1/1940,1415
3/1/1940,1416
4/1/1940,1419
5/1/1940,1421
6/1/1940,1423
7/1/1940,1423
8/1/1940,1427
9/1/1940,1428
10/1/1940,1432
11/1/1940,1436
12/1/1940,1436
1/1/1941,1438
2/1/1941,1439
3/1/1941,1444
4/1/1941,1458
5/1/1941,1460
6/1/1941,1468
7/1/1941,1475
8/1/1941,1478
9/1/1941,1482
10/1/1941,1482
11/1/1941,1481
12/1/1941,1481
1/1/1942,1485
2/1/1942,1480
3/1/1942,1478
4/1/1942,1468
5/1/1942,1460
6/1/1942,1453
7/1/1942,1446
8/1/1942,1441
9/1/1942,1440
10/1/1942,1439
11/1/1942,1434
12/1/1942,1432
1/1/1943,1427
2/1/1943,1427
3/1/1943,1426
4/1/1943,1432
5/1/1943,1435
6/1/1943,1446
7/1/1943,1435
8/1/1943,1428
9/1/1943,1430
10/1/1943,1427
11/1/1943,1429
12/1/1943,1431
1/1/1944,1426
2/1/1944,1425
3/1/1944,1423
4/1/1944,1419
5/1/1944,1416
6/1/1944,1423
7/1/1944,1409
8/1/1944,1403
9/1/1944,1407
10/1/1944,1406
11/1/1944,1406
12/1/1944,1405
1/1/1945,1407
2/1/1945,1405
3/1/1945,1404
4/1/1945,1403
5/1/1945,1407
6/1/1945,1416
7/1/1945,1428
8/1/1945,1437
9/1/1945,1449
10/1/1945,1463
11/1/1945,1483
12/1/1945,1505
1/1/1946,1540
2/1/1946,1560
3/1/1946,1582
4/1/1946,1599
5/1/1946,1615
6/1/1946,1625
7/1/1946,1630
8/1/1946,1638
9/1/1946,1646
10/1/1946,1658
11/1/1946,1666
12/1/1946,1668
1/1/1947,1648
2/1/1947,1647
3/1/1947,1649
4/1/1947,1657
5/1/1947,1661
6/1/1947,1663
7/1/1947,1680
8/1/1947,1682
9/1/1947,1689
10/1/1947,1694
11/1/1947,1701
12/1/1947,1707
1/1/1948,1714
2/1/1948,1722
3/1/1948,1727
4/1/1948,1732
5/1/1948,1737
6/1/1948,1747
7/1/1948,1753
8/1/1948,1753
9/1/1948,1758
10/1/1948,1749
11/1/1948,1752
12/1/1948,1754
1/1/1949,1756
2/1/1949,1755
3/1/1949,1759
4/1/1949,1760
5/1/1949,1761
6/1/1949,1760
7/1/1949,1762
8/1/1949,1765
9/1/1949,1779
10/1/1949,1778
11/1/1949,1784
12/1/1949,1788
1/1/1950,1793
2/1/1950,1799
3/1/1950,1804
4/1/1950,1810
5/1/1950,1818
6/1/1950,1822
7/1/1950,1825
8/1/1950,1833
9/1/1950,1844
10/1/1950,1843
11/1/1950,1847
12/1/1950,1852
1/1/1951,1857
2/1/1951,1864
3/1/1951,1869
4/1/1951,1873
5/1/1951,1879
6/1/1951,1886
7/1/1951,1892
8/1/1951,1899
9/1/1951,1906
10/1/1951,1906
11/1/1951,1921
12/1/1951,1925
1/1/1952,1925
2/1/1952,1936
3/1/1952,1944
4/1/1952,1952
5/1/1952,1957
6/1/1952,1961
7/1/1952,1971
8/1/1952,1973
9/1/1952,1978
10/1/1952,1984
11/1/1952,1990
12/1/1952,1996
1/1/1953,2004
2/1/1953,2011
3/1/1953,2016
4/1/1953,2021
5/1/1953,2026
6/1/1953,2032
7/1/1953,2042
8/1/1953,2045
9/1/1953,2048
10/1/1953,2054
11/1/1953,2059
12/1/1953,2067
1/1/1954,2075
2/1/1954,2082
3/1/1954,2089
4/1/1954,2100
5/1/1954,2108
6/1/1954,2114
7/1/1954,2119
8/1/1954,2121
9/1/1954,2142
10/1/1954,2146
11/1/1954,2154
12/1/1954,2160
1/1/1955,2165
2/1/1955,2171
3/1/1955,2181
4/1/1955,2188
5/1/1955,2194
6/1/1955,2208
7/1/1955,2220
8/1/1955,2228
9/1/1955,2237
10/1/1955,2243
11/1/1955,2248
12/1/1955,2258
1/1/1956,2267
2/1/1956,2276
3/1/1956,2285
4/1/1956,2290
5/1/1956,2296
6/1/1956,2300
7/1/1956,2303
8/1/1956,2315
9/1/1956,2308
10/1/1956,2312
11/1/1956,2319
12/1/1956,2318
1/1/1957,2320
2/1/1957,2326
3/1/1957,2330
4/1/1957,2333
5/1/1957,2338
6/1/1957,2345
7/1/1957,2355
8/1/1957,2355
9/1/1957,2354
10/1/1957,2364
11/1/1957,2374
12/1/1957,2378
1/1/1958,2383
2/1/1958,2380
3/1/1958,2378
4/1/1958,2379
5/1/1958,2385
6/1/1958,2381
7/1/1958,2380
8/1/1958,2385
9/1/1958,2390
10/1/1958,2395
11/1/1958,2396
12/1/1958,2402
1/1/1959,2418
2/1/1959,2420
3/1/1959,2430
4/1/1959,2439
5/1/1959,2447
6/1/1959,2454
7/1/1959,2460
8/1/1959,2464
9/1/1959,2470
10/1/1959,2477
11/1/1959,2483
12/1/1959,2491
1/1/1960,2496
2/1/1960,2506
3/1/1960,2513
4/1/1960,2520
5/1/1960,2523
6/1/1960,2528
7/1/1960,2536
8/1/1960,2543
9/1/1960,2549
10/1/1960,2548
11/1/1960,2557
12/1/1960,2560
1/1/1961,2565
2/1/1961,2567
3/1/1961,2567
4/1/1961,2573
5/1/1961,2580
6/1/1961,2587
7/1/1961,2592
8/1/1961,2599
9/1/1961,2604
10/1/1961,2608
11/1/1961,2614
12/1/1961,2621
1/1/1962,2625
2/1/1962,2630
3/1/1962,2636
4/1/1962,2641
5/1/1962,2649
6/1/1962,2655
7/1/1962,2659
8/1/1962,2664
9/1/1962,2669
10/1/1962,2676
11/1/1962,2683
12/1/1962,2688
1/1/1963,2696
2/1/1963,2702
3/1/1963,2709
4/1/1963,2715
5/1/1963,2724
6/1/1963,2726
7/1/1963,2731
8/1/1963,2738
9/1/1963,2742
10/1/1963,2755
11/1/1963,2759
12/1/1963,2769
1/1/1964,2778
2/1/1964,2786
3/1/1964,2793
4/1/1964,2801
5/1/1964,2806
6/1/1964,2810
7/1/1964,2816
8/1/1964,2819
9/1/1964,2826
10/1/1964,2828
11/1/1964,2833
12/1/1964,2837
1/1/1965,2844
2/1/1965,2849
3/1/1965,2855
4/1/1965,2860
5/1/1965,2868
6/1/1965,2871
7/1/1965,2880
8/1/1965,2886
9/1/1965,2894
10/1/1965,2904
11/1/1965,2910
12/1/1965,2915
1/1/1966,2921
2/1/1966,2924
3/1/1966,2936
4/1/1966,2942
5/1/1966,2949
6/1/1966,2959
7/1/1966,2973
8/1/1966,2973
9/1/1966,2978
10/1/1966,2983
11/1/1966,2991
12/1/1966,3002
1/1/1967,3012
2/1/1967,3023
3/1/1967,3037
4/1/1967,3051
5/1/1967,3065
6/1/1967,3081
7/1/1967,3094
8/1/1967,3110
9/1/1967,3123
10/1/1967,3133
11/1/1967,3146
12/1/1967,3161
1/1/1968,3169
2/1/1968,3182
3/1/1968,3191
4/1/1968,3200
5/1/1968,3210
6/1/1968,3215
7/1/1968,3231
8/1/1968,3253
9/1/1968,3264
10/1/1968,3283
11/1/1968,3298
12/1/1968,3310
1/1/1969,3326
2/1/1969,3342
3/1/1969,3355
4/1/1969,3371
5/1/1969,3383
6/1/1969,3401
7/1/1969,3417
8/1/1969,3435
9/1/1969,3438
10/1/1969,3448
11/1/1969,3459
12/1/1969,3472
1/1/1970,3485
2/1/1970,3497
3/1/1970,3512
4/1/1970,3519
5/1/1970,3525
6/1/1970,3528
7/1/1970,3534
8/1/1970,3538
9/1/1970,3548
10/1/1970,3556
11/1/1970,3568
12/1/1970,3579
1/1/1971,3591
2/1/1971,3599
3/1/1971,3607
4/1/1971,3620
5/1/1971,3632
6/1/1971,3652
7/1/1971,3658
8/1/1971,3666
9/1/1971,3679
10/1/1971,3690
11/1/1971,3704
12/1/1971,3716
1/1/1972,3723
2/1/1972,3730
3/1/1972,3740
4/1/1972,3753
5/1/1972,3765
6/1/1972,3791
7/1/1972,3790
8/1/1972,3801
9/1/1972,3810
10/1/1972,3821
11/1/1972,3832
12/1/1972,3842
1/1/1973,3852
2/1/1973,3874
3/1/1973,3888
4/1/1973,3897
5/1/1973,3909
6/1/1973,3918
7/1/1973,3929
8/1/1973,3939
9/1/1973,3946
10/1/1973,3947
11/1/1973,3963
12/1/1973,3972
1/1/1974,3986
2/1/1974,4004
3/1/1974,4006
4/1/1974,4012
5/1/1974,4022
6/1/1974,4030
7/1/1974,4034
8/1/1974,4035
9/1/1974,4036
10/1/1974,4038
11/1/1974,4038
12/1/1974,4036
1/1/1975,4031
2/1/1975,4026
3/1/1975,4024
4/1/1975,4027
5/1/1975,4032
6/1/1975,4031
7/1/1975,4042
8/1/1975,4052
9/1/1975,4062
10/1/1975,4072
11/1/1975,4076
12/1/1975,4090
1/1/1976,4096
2/1/1976,4105
3/1/1976,4115
4/1/1976,4127
5/1/1976,4136
6/1/1976,4146
7/1/1976,4155
8/1/1976,4160
9/1/1976,4184
10/1/1976,4199
11/1/1976,4213
12/1/1976,4229
1/1/1977,4247
2/1/1977,4260
3/1/1977,4285
4/1/1977,4304
5/1/1977,4318
6/1/1977,4333
7/1/1977,4349
8/1/1977,4368
9/1/1977,4394
10/1/1977,4416
11/1/1977,4441
12/1/1977,4461
1/1/1978,4476
2/1/1978,4506
3/1/1978,4527
4/1/1978,4547
5/1/1978,4566
6/1/1978,4592
7/1/1978,4615
8/1/1978,4633
9/1/1978,4650
10/1/1978,4665
11/1/1978,4697
12/1/1978,4717
1/1/1979,4738
2/1/1979,4757
3/1/1979,4776
4/1/1979,4796
5/1/1979,4821
6/1/1979,4840
7/1/1979,4856
8/1/1979,4885
9/1/1979,4884
10/1/1979,4903
11/1/1979,4920
12/1/1979,4933
1/1/1980,4956
2/1/1980,4969
3/1/1980,4987
4/1/1980,4993
5/1/1980,5004
6/1/1980,5016
7/1/1980,5027
8/1/1980,5039
9/1/1980,5051
10/1/1980,5071
11/1/1980,5085
12/1/1980,5100
1/1/1981,5116
2/1/1981,5128
3/1/1981,5137
4/1/1981,5151
5/1/1981,5160
6/1/1981,5163
7/1/1981,5174
8/1/1981,5181
9/1/1981,5184
10/1/1981,5183
11/1/1981,5184
12/1/1981,5188
1/1/1982,5190
2/1/1982,5192
3/1/1982,5199
4/1/1982,5198
5/1/1982,5202
6/1/1982,5209
7/1/1982,5211
8/1/1982,5211
9/1/1982,5216
10/1/1982,5217
11/1/1982,5224
12/1/1982,5229
1/1/1983,5242
2/1/1983,5256
3/1/1983,5267
4/1/1983,5289
5/1/1983,5302
6/1/1983,5313
7/1/1983,5340
8/1/1983,5362
9/1/1983,5387
10/1/1983,5397
11/1/1983,5416
12/1/1983,5436
1/1/1984,5452
2/1/1984,5472
3/1/1984,5492
4/1/1984,5503
5/1/1984,5522
6/1/1984,5540
7/1/1984,5556
8/1/1984,5574
9/1/1984,5595
10/1/1984,5620
11/1/1984,5641
12/1/1984,5661
1/1/1985,5684
2/1/1985,5705
3/1/1985,5730
4/1/1985,5751
5/1/1985,5775
6/1/1985,5796
7/1/1985,5818
8/1/1985,5845
9/1/1985,5874
10/1/1985,5902
11/1/1985,5935
12/1/1985,5959
1/1/1986,5977
2/1/1986,6010
3/1/1986,6036
4/1/1986,6066
5/1/1986,6091
6/1/1986,6118
7/1/1986,6149
8/1/1986,6173
9/1/1986,6197
10/1/1986,6215
11/1/1986,6236
12/1/1986,6264
1/1/1987,6282
2/1/1987,6303
3/1/1987,6327
4/1/1987,6358
5/1/1987,6376
6/1/1987,6388
7/1/1987,6408
8/1/1987,6419
9/1/1987,6427
10/1/1987,6442
11/1/1987,6441
12/1/1987,6451
1/1/1988,6466
2/1/1988,6472
3/1/1988,6483
4/1/1988,6489
5/1/1988,6490
6/1/1988,6499
7/1/1988,6507
8/1/1988,6505
9/1/1988,6509
10/1/1988,6517
11/1/1988,6526
12/1/1988,6533
1/1/1989,6529
2/1/1989,6542
3/1/1989,6547
4/1/1989,6549
5/1/1989,6554
6/1/1989,6560
7/1/1989,6567
8/1/1989,6571
9/1/1989,6577
10/1/1989,6576
11/1/1989,6584
12/1/1989,6585
1/1/1990,6586
2/1/1990,6599
3/1/1990,6602
4/1/1990,6611
5/1/1990,6617
6/1/1990,6626
7/1/1990,6631
8/1/1990,6633
9/1/1990,6627
10/1/1990,6623
11/1/1990,6614
12/1/1990,6602
1/1/1991,6611
2/1/1991,6601
3/1/1991,6603
4/1/1991,6583
5/1/1991,6566
6/1/1991,6559
7/1/1991,6548
8/1/1991,6542
9/1/1991,6534
10/1/1991,6532
11/1/1991,6533
12/1/1991,6529
1/1/1992,6520
2/1/1992,6523
3/1/1992,6524
4/1/1992,6533
5/1/1992,6545
6/1/1992,6553
7/1/1992,6552
8/1/1992,6564
9/1/1992,6579
10/1/1992,6588
11/1/1992,6600
12/1/1992,6617
1/1/1993,6633
2/1/1993,6645
3/1/1993,6655
4/1/1993,6680
5/1/1993,6703
6/1/1993,6724
7/1/1993,6750
8/1/1993,6770
9/1/1993,6796
10/1/1993,6819
11/1/1993,6846
12/1/1993,6870
1/1/1994,6889
2/1/1994,6910
3/1/1994,6929
4/1/1994,6936
5/1/1994,6928
6/1/1994,6930
7/1/1994,6925
8/1/1994,6920
9/1/1994,6906
10/1/1994,6889
11/1/1994,6878
12/1/1994,6869
1/1/1995,6859
2/1/1995,6850
3/1/1995,6853
4/1/1995,6847
5/1/1995,6845
6/1/1995,6847
7/1/1995,6854
8/1/1995,6865
9/1/1995,6877
10/1/1995,6888
11/1/1995,6903
12/1/1995,6911
1/1/1996,6923
2/1/1996,6945
3/1/1996,6952
4/1/1996,6968
5/1/1996,6990
6/1/1996,7012
7/1/1996,7033
8/1/1996,7047
9/1/1996,7066
10/1/1996,7079
11/1/1996,7097
12/1/1996,7111
1/1/1997,7126
2/1/1997,7144
3/1/1997,7164
4/1/1997,7195
5/1/1997,7215
6/1/1997,7230
7/1/1997,7266
8/1/1997,7291
9/1/1997,7313
10/1/1997,7342
11/1/1997,7370
12/1/1997,7400
1/1/1998,7425
2/1/1998,7451
3/1/1998,7485
