DATE,USGOOD
1/1/1939,11098
2/1/1939,11221
3/1/1939,11383
4/1/1939,11182
5/1/1939,11298
6/1/1939,11447
7/1/1939,11304
8/1/1939,11495
9/1/1939,11692
10/1/1939,11984
11/1/1939,12007
12/1/1939,12021
1/1/1940,11973
2/1/1940,12023
3/1/1940,12024
4/1/1940,12013
5/1/1940,12038
6/1/1940,12040
7/1/1940,11958
8/1/1940,12257
9/1/1940,12565
10/1/1940,12909
11/1/1940,13206
12/1/1940,13563
1/1/1941,13771
2/1/1941,13982
3/1/1941,14109
4/1/1941,14151
5/1/1941,14720
6/1/1941,14985
7/1/1941,15264
8/1/1941,15463
9/1/1941,15642
10/1/1941,15727
11/1/1941,15746
12/1/1941,15803
1/1/1942,15908
2/1/1942,16048
3/1/1942,16367
4/1/1942,16701
5/1/1942,17000
6/1/1942,17241
7/1/1942,17584
8/1/1942,17828
9/1/1942,18017
10/1/1942,18118
11/1/1942,18220
12/1/1942,18408
1/1/1943,18570
2/1/1943,18685
3/1/1943,18783
4/1/1943,18783
5/1/1943,18739
6/1/1943,18800
7/1/1943,18776
8/1/1943,18749
9/1/1943,18673
10/1/1943,18796
11/1/1943,18861
12/1/1943,18792
1/1/1944,18709
2/1/1944,18578
3/1/1944,18349
4/1/1944,18124
5/1/1944,18031
6/1/1944,17947
7/1/1944,17860
8/1/1944,17784
9/1/1944,17612
10/1/1944,17621
11/1/1944,17564
12/1/1944,17666
1/1/1945,17705
2/1/1945,17664
3/1/1945,17542
4/1/1945,17338
5/1/1945,17159
6/1/1945,16959
7/1/1945,16611
8/1/1945,16223
9/1/1945,14486
10/1/1945,14513
11/1/1945,14699
12/1/1945,14744
1/1/1946,15031
2/1/1946,14308
3/1/1946,15017
4/1/1946,15439
5/1/1946,15875
6/1/1946,16206
7/1/1946,16461
8/1/1946,16728
9/1/1946,16912
10/1/1946,17002
11/1/1946,17157
12/1/1946,17164
1/1/1947,17213
2/1/1947,17200
3/1/1947,17196
4/1/1947,17178
5/1/1947,17176
6/1/1947,17253
7/1/1947,17106
8/1/1947,17280
9/1/1947,17398
10/1/1947,17499
11/1/1947,17517
12/1/1947,17563
1/1/1948,17625
2/1/1948,17447
3/1/1948,17544
4/1/1948,17302
5/1/1948,17508
6/1/1948,17633
7/1/1948,17649
8/1/1948,17655
9/1/1948,17741
10/1/1948,17683
11/1/1948,17599
12/1/1948,17417
1/1/1949,17170
2/1/1949,17019
3/1/1949,16848
4/1/1949,16685
5/1/1949,16492
6/1/1949,16351
7/1/1949,16222
8/1/1949,16327
9/1/1949,16403
10/1/1949,15739
11/1/1949,16040
12/1/1949,16217
1/1/1950,16255
2/1/1950,16035
3/1/1950,16482
4/1/1950,16718
5/1/1950,17080
6/1/1950,17288
7/1/1950,17464
8/1/1950,17917
9/1/1950,18040
10/1/1950,18249
11/1/1950,18288
12/1/1950,18283
1/1/1951,18518
2/1/1951,18666
3/1/1951,18754
4/1/1951,18810
5/1/1951,18829
6/1/1951,18826
7/1/1951,18747
8/1/1951,18709
9/1/1951,18622
10/1/1951,18630
11/1/1951,18617
12/1/1951,18698
1/1/1952,18719
2/1/1952,18813
3/1/1952,18775
4/1/1952,18806
5/1/1952,18784
6/1/1952,18419
7/1/1952,18268
8/1/1952,18928
9/1/1952,19206
10/1/1952,19312
11/1/1952,19473
12/1/1952,19610
1/1/1953,19721
2/1/1953,19841
3/1/1953,19909
4/1/1953,19908
5/1/1953,19930
6/1/1953,19909
7/1/1953,19910
8/1/1953,19834
9/1/1953,19726
10/1/1953,19578
11/1/1953,19315
12/1/1953,19173
1/1/1954,18963
2/1/1954,18880
3/1/1954,18748
4/1/1954,18602
5/1/1954,18476
6/1/1954,18400
7/1/1954,18280
8/1/1954,18251
9/1/1954,18261
10/1/1954,18321
11/1/1954,18438
12/1/1954,18508
1/1/1955,18609
2/1/1955,18726
3/1/1955,18910
4/1/1955,19067
5/1/1955,19223
6/1/1955,19331
7/1/1955,19376
8/1/1955,19432
9/1/1955,19427
10/1/1955,19482
11/1/1955,19554
12/1/1955,19608
1/1/1956,19665
2/1/1956,19731
3/1/1956,19691
4/1/1956,19811
5/1/1956,19825
6/1/1956,19905
7/1/1956,19390
8/1/1956,19922
9/1/1956,19860
10/1/1956,19918
11/1/1956,19886
12/1/1956,19926
1/1/1957,19833
2/1/1957,19933
3/1/1957,19936
4/1/1957,19887
5/1/1957,19834
6/1/1957,19777
7/1/1957,19735
8/1/1957,19728
9/1/1957,19545
10/1/1957,19421
11/1/1957,19260
12/1/1957,19111
1/1/1958,18902
2/1/1958,18529
3/1/1958,18335
4/1/1958,18120
5/1/1958,18008
6/1/1958,17984
7/1/1958,18038
8/1/1958,18147
9/1/1958,18331
10/1/1958,18218
11/1/1958,18610
12/1/1958,18592
1/1/1959,18796
2/1/1959,18890
3/1/1959,19069
4/1/1959,19269
5/1/1959,19378
6/1/1959,19462
7/1/1959,19529
8/1/1959,19049
9/1/1959,19052
10/1/1959,18925
11/1/1959,19108
12/1/1959,19425
1/1/1960,19491
2/1/1960,19605
3/1/1960,19373
4/1/1960,19446
5/1/1960,19374
6/1/1960,19240
7/1/1960,19170
8/1/1960,19105
9/1/1960,19057
10/1/1960,18952
11/1/1960,18799
12/1/1960,18548
1/1/1961,18508
2/1/1961,18418
3/1/1961,18438
4/1/1961,18432
5/1/1961,18523
6/1/1961,18618
7/1/1961,18640
8/1/1961,18725
9/1/1961,18730
10/1/1961,18805
11/1/1961,18927
12/1/1961,18981
1/1/1962,18936
2/1/1962,19109
3/1/1962,19109
4/1/1962,19258
5/1/1962,19253
6/1/1962,19186
7/1/1962,19248
8/1/1962,19251
9/1/1962,19305
10/1/1962,19301
11/1/1962,19260
12/1/1962,19219
1/1/1963,19257
2/1/1963,19228
3/1/1963,19233
4/1/1963,19343
5/1/1963,19399
6/1/1963,19371
7/1/1963,19423
8/1/1963,19437
9/1/1963,19483
10/1/1963,19517
11/1/1963,19456
12/1/1963,19493
1/1/1964,19406
2/1/1964,19570
3/1/1964,19587
4/1/1964,19593
5/1/1964,19630
6/1/1964,19682
7/1/1964,19740
8/1/1964,19810
9/1/1964,19943
10/1/1964,19723
11/1/1964,20026
12/1/1964,20111
1/1/1965,20173
2/1/1965,20216
3/1/1965,20292
4/1/1965,20317
5/1/1965,20444
6/1/1965,20522
7/1/1965,20611
8/1/1965,20726
9/1/1965,20808
10/1/1965,20895
11/1/1965,21021
12/1/1965,21151
1/1/1966,21214
2/1/1966,21315
3/1/1966,21515
4/1/1966,21568
5/1/1966,21675
6/1/1966,21846
7/1/1966,21872
8/1/1966,21972
9/1/1966,21948
10/1/1966,21991
11/1/1966,21988
12/1/1966,22008
1/1/1967,22057
2/1/1967,21987
3/1/1967,21919
4/1/1967,21842
5/1/1967,21779
6/1/1967,21761
7/1/1967,21772
8/1/1967,21887
9/1/1967,21775
10/1/1967,21779
11/1/1967,21996
12/1/1967,22037
1/1/1968,21917
2/1/1968,22117
3/1/1968,22119
4/1/1968,22207
5/1/1968,22255
6/1/1968,22264
7/1/1968,22329
8/1/1968,22350
9/1/1968,22390
10/1/1968,22419
11/1/1968,22512
12/1/1968,22617
1/1/1969,22644
2/1/1969,22755
3/1/1969,22813
4/1/1969,22815
5/1/1969,22899
6/1/1969,22981
7/1/1969,22990
8/1/1969,23111
9/1/1969,22988
10/1/1969,22976
11/1/1969,22840
12/1/1969,22884
1/1/1970,22726
2/1/1970,22747
3/1/1970,22738
4/1/1970,22552
5/1/1970,22336
6/1/1970,22241
7/1/1970,22195
8/1/1970,22105
9/1/1970,21988
10/1/1970,21477
11/1/1970,21345
12/1/1970,21673
1/1/1971,21594
2/1/1971,21514
3/1/1971,21491
4/1/1971,21552
5/1/1971,21645
6/1/1971,21568
7/1/1971,21564
8/1/1971,21570
9/1/1971,21650
10/1/1971,21604
11/1/1971,21684
12/1/1971,21741
1/1/1972,21865
2/1/1972,21915
3/1/1972,22036
4/1/1972,22099
5/1/1972,22222
6/1/1972,22282
7/1/1972,22162
8/1/1972,22400
9/1/1972,22456
10/1/1972,22613
11/1/1972,22688
12/1/1972,22772
1/1/1973,22955
2/1/1973,23160
3/1/1973,23262
4/1/1973,23316
5/1/1973,23382
6/1/1973,23485
7/1/1973,23522
8/1/1973,23559
9/1/1973,23548
10/1/1973,23641
11/1/1973,23719
12/1/1973,23779
1/1/1974,23709
2/1/1974,23718
3/1/1974,23687
4/1/1974,23670
5/1/1974,23635
6/1/1974,23591
7/1/1974,23462
8/1/1974,23396
9/1/1974,23274
10/1/1974,23118
11/1/1974,22773
12/1/1974,22303
1/1/1975,21974
2/1/1975,21512
3/1/1975,21274
4/1/1975,21109
5/1/1975,21097
6/1/1975,21018
7/1/1975,20981
8/1/1975,21176
9/1/1975,21284
10/1/1975,21384
11/1/1975,21442
12/1/1975,21602
1/1/1976,21799
2/1/1976,21893
3/1/1976,21980
4/1/1976,22050
5/1/1976,21988
6/1/1976,21982
7/1/1976,21988
8/1/1976,22038
9/1/1976,22142
10/1/1976,22037
11/1/1976,22207
12/1/1976,22261
1/1/1977,22320
2/1/1977,22478
3/1/1977,22672
4/1/1977,22807
5/1/1977,22919
6/1/1977,23046
7/1/1977,23106
8/1/1977,23124
9/1/1977,23244
10/1/1977,23279
11/1/1977,23371
12/1/1977,23371
1/1/1978,23374
2/1/1978,23453
3/1/1978,23649
4/1/1978,24008
5/1/1978,24082
6/1/1978,24238
7/1/1978,24300
8/1/1978,24374
9/1/1978,24444
10/1/1978,24548
11/1/1978,24678
12/1/1978,24758
1/1/1979,24740
2/1/1979,24784
3/1/1979,24998
4/1/1979,24958
5/1/1979,25071
6/1/1979,25161
7/1/1979,25163
8/1/1979,25059
9/1/1979,25088
10/1/1979,25038
11/1/1979,24947
12/1/1979,24970
1/1/1980,24949
2/1/1980,24874
3/1/1980,24818
4/1/1980,24507
5/1/1980,24234
6/1/1980,23968
7/1/1980,23698
8/1/1980,23860
9/1/1980,23931
10/1/1980,24012
11/1/1980,24123
12/1/1980,24182
1/1/1981,24152
2/1/1981,24118
3/1/1981,24203
4/1/1981,24151
5/1/1981,24148
6/1/1981,24290
7/1/1981,24302
8/1/1981,24258
9/1/1981,24210
10/1/1981,24051
11/1/1981,23875
12/1/1981,23656
1/1/1982,23362
2/1/1982,23361
3/1/1982,23214
4/1/1982,22996
5/1/1982,22884
6/1/1982,22643
7/1/1982,22434
8/1/1982,22268
9/1/1982,22146
10/1/1982,21879
11/1/1982,21736
12/1/1982,21688
1/1/1983,21757
2/1/1983,21676
3/1/1983,21649
4/1/1983,21729
5/1/1983,21829
6/1/1983,21949
7/1/1983,22103
8/1/1983,22207
9/1/1983,22381
10/1/1983,22546
11/1/1983,22698
12/1/1983,22803
1/1/1984,22942
2/1/1984,23146
3/1/1984,23209
4/1/1984,23305
5/1/1984,23389
6/1/1984,23497
7/1/1984,23571
8/1/1984,23608
9/1/1984,23617
10/1/1984,23626
11/1/1984,23639
12/1/1984,23673
1/1/1985,23672
2/1/1985,23621
3/1/1985,23661
4/1/1985,23644
5/1/1985,23632
6/1/1985,23592
7/1/1985,23549
8/1/1985,23546
9/1/1985,23528
10/1/1985,23529
11/1/1985,23520
12/1/1985,23518
1/1/1986,23530
2/1/1986,23485
3/1/1986,23428
4/1/1986,23427
5/1/1986,23349
6/1/1986,23263
7/1/1986,23235
8/1/1986,23225
9/1/1986,23216
10/1/1986,23208
11/1/1986,23204
12/1/1986,23237
1/1/1987,23232
2/1/1987,23296
3/1/1987,23307
4/1/1987,23342
5/1/1987,23390
6/1/1987,23390
7/1/1987,23455
8/1/1987,23506
9/1/1987,23566
10/1/1987,23655
11/1/1987,23711
12/1/1987,23772
1/1/1988,23668
2/1/1988,23769
3/1/1988,23824
4/1/1988,23880
