DATE,USLAH
1/1/1939,1860
2/1/1939,1867
3/1/1939,1877
4/1/1939,1887
5/1/1939,1888
6/1/1939,1895
7/1/1939,1897
8/1/1939,1899
9/1/1939,1918
10/1/1939,1910
11/1/1939,1913
12/1/1939,1930
1/1/1940,1936
2/1/1940,1945
3/1/1940,1993
4/1/1940,1965
5/1/1940,1979
6/1/1940,1995
7/1/1940,1988
8/1/1940,2000
9/1/1940,2023
10/1/1940,2023
11/1/1940,2025
12/1/1940,2056
1/1/1941,2045
2/1/1941,2061
3/1/1941,2074
4/1/1941,2138
5/1/1941,2110
6/1/1941,2133
7/1/1941,2151
8/1/1941,2172
9/1/1941,2175
10/1/1941,2165
11/1/1941,2165
12/1/1941,2165
1/1/1942,2161
2/1/1942,2154
3/1/1942,2149
4/1/1942,2141
5/1/1942,2137
6/1/1942,2123
7/1/1942,2118
8/1/1942,2124
9/1/1942,2118
10/1/1942,2132
11/1/1942,2126
12/1/1942,2118
1/1/1943,2115
2/1/1943,2113
3/1/1943,2112
4/1/1943,2139
5/1/1943,2118
6/1/1943,2128
7/1/1943,2125
8/1/1943,2122
9/1/1943,2115
10/1/1943,2133
11/1/1943,2142
12/1/1943,2112
1/1/1944,2139
2/1/1944,2142
3/1/1944,2138
4/1/1944,2138
5/1/1944,2135
6/1/1944,2136
7/1/1944,2145
8/1/1944,2149
9/1/1944,2139
10/1/1944,2154
11/1/1944,2159
12/1/1944,2135
1/1/1945,2170
2/1/1945,2179
3/1/1945,2188
4/1/1945,2147
5/1/1945,2166
6/1/1945,2171
7/1/1945,2182
8/1/1945,2194
9/1/1945,2215
10/1/1945,2242
11/1/1945,2274
12/1/1945,2264
1/1/1946,2350
2/1/1946,2392
3/1/1946,2413
4/1/1946,2458
5/1/1946,2461
6/1/1946,2477
7/1/1946,2496
8/1/1946,2535
9/1/1946,2536
10/1/1946,2545
11/1/1946,2579
12/1/1946,2564
1/1/1947,2587
2/1/1947,2600
3/1/1947,2612
4/1/1947,2620
5/1/1947,2637
6/1/1947,2649
7/1/1947,2659
8/1/1947,2666
9/1/1947,2673
10/1/1947,2690
11/1/1947,2697
12/1/1947,2695
1/1/1948,2704
2/1/1948,2706
3/1/1948,2713
4/1/1948,2697
5/1/1948,2720
6/1/1948,2729
7/1/1948,2736
8/1/1948,2739
9/1/1948,2736
10/1/1948,2735
11/1/1948,2737
12/1/1948,2743
1/1/1949,2730
2/1/1949,2734
3/1/1949,2727
4/1/1949,2760
5/1/1949,2735
6/1/1949,2725
7/1/1949,2718
8/1/1949,2715
9/1/1949,2729
10/1/1949,2719
11/1/1949,2715
12/1/1949,2735
1/1/1950,2717
2/1/1950,2720
3/1/1950,2727
4/1/1950,2740
5/1/1950,2751
6/1/1950,2765
7/1/1950,2777
8/1/1950,2801
9/1/1950,2801
10/1/1950,2803
11/1/1950,2807
12/1/1950,2818
1/1/1951,2838
2/1/1951,2853
3/1/1951,2894
4/1/1951,2828
5/1/1951,2873
6/1/1951,2880
7/1/1951,2883
8/1/1951,2888
9/1/1951,2887
10/1/1951,2887
11/1/1951,2898
12/1/1951,2904
1/1/1952,2906
2/1/1952,2912
3/1/1952,2905
4/1/1952,2927
5/1/1952,2933
6/1/1952,2939
7/1/1952,2949
8/1/1952,2958
9/1/1952,2972
10/1/1952,2986
11/1/1952,2995
12/1/1952,3005
1/1/1953,3006
2/1/1953,3017
3/1/1953,3027
4/1/1953,2999
5/1/1953,3032
6/1/1953,3036
7/1/1953,3037
8/1/1953,3041
9/1/1953,3039
10/1/1953,3047
11/1/1953,3040
12/1/1953,3035
1/1/1954,3032
2/1/1954,3031
3/1/1954,3012
4/1/1954,3043
5/1/1954,3028
6/1/1954,3025
7/1/1954,3031
8/1/1954,3033
9/1/1954,3034
10/1/1954,3033
11/1/1954,3041
12/1/1954,3060
1/1/1955,3063
2/1/1955,3070
3/1/1955,3088
4/1/1955,3106
5/1/1955,3116
6/1/1955,3132
7/1/1955,3149
8/1/1955,3162
9/1/1955,3180
10/1/1955,3185
11/1/1955,3198
12/1/1955,3218
1/1/1956,3230
2/1/1956,3241
3/1/1956,3272
4/1/1956,3232
5/1/1956,3245
6/1/1956,3245
7/1/1956,3231
8/1/1956,3232
9/1/1956,3227
10/1/1956,3244
11/1/1956,3248
12/1/1956,3249
1/1/1957,3245
2/1/1957,3257
3/1/1957,3258
4/1/1957,3282
5/1/1957,3266
6/1/1957,3268
7/1/1957,3277
8/1/1957,3278
9/1/1957,3280
10/1/1957,3270
11/1/1957,3270
12/1/1957,3257
