DATE,USPBS
1/1/1939,1943
2/1/1939,1950
3/1/1939,1958
4/1/1939,1957
5/1/1939,1968
6/1/1939,1980
7/1/1939,1985
8/1/1939,1990
9/1/1939,2010
10/1/1939,2021
11/1/1939,2027
12/1/1939,2033
1/1/1940,2039
2/1/1940,2047
3/1/1940,2051
4/1/1940,2055
5/1/1940,2061
6/1/1940,2066
7/1/1940,2070
8/1/1940,2087
9/1/1940,2104
10/1/1940,2123
11/1/1940,2137
12/1/1940,2155
1/1/1941,2171
2/1/1941,2189
3/1/1941,2207
4/1/1941,2232
5/1/1941,2259
6/1/1941,2277
7/1/1941,2301
8/1/1941,2317
9/1/1941,2326
10/1/1941,2336
11/1/1941,2344
12/1/1941,2351
1/1/1942,2362
2/1/1942,2365
3/1/1942,2377
4/1/1942,2394
5/1/1942,2403
6/1/1942,2413
7/1/1942,2429
8/1/1942,2442
9/1/1942,2454
10/1/1942,2463
11/1/1942,2470
12/1/1942,2482
1/1/1943,2498
2/1/1943,2509
3/1/1943,2515
4/1/1943,2519
5/1/1943,2521
6/1/1943,2528
7/1/1943,2531
8/1/1943,2532
9/1/1943,2537
10/1/1943,2546
11/1/1943,2558
12/1/1943,2557
1/1/1944,2552
2/1/1944,2556
3/1/1944,2549
4/1/1944,2540
5/1/1944,2536
6/1/1944,2535
7/1/1944,2529
8/1/1944,2527
9/1/1944,2523
10/1/1944,2519
11/1/1944,2524
12/1/1944,2525
1/1/1945,2527
2/1/1945,2533
3/1/1945,2528
4/1/1945,2519
5/1/1945,2512
6/1/1945,2512
7/1/1945,2512
8/1/1945,2506
9/1/1945,2447
10/1/1945,2466
11/1/1945,2498
12/1/1945,2514
1/1/1946,2560
2/1/1946,2550
3/1/1946,2596
4/1/1946,2635
5/1/1946,2650
6/1/1946,2670
7/1/1946,2691
8/1/1946,2717
9/1/1946,2747
10/1/1946,2756
11/1/1946,2778
12/1/1946,2779
1/1/1947,2805
2/1/1947,2813
3/1/1947,2817
4/1/1947,2814
5/1/1947,2823
6/1/1947,2834
7/1/1947,2839
8/1/1947,2847
9/1/1947,2859
10/1/1947,2870
11/1/1947,2877
12/1/1947,2882
1/1/1948,2885
2/1/1948,2885
3/1/1948,2894
4/1/1948,2891
5/1/1948,2904
6/1/1948,2912
7/1/1948,2920
8/1/1948,2920
9/1/1948,2923
10/1/1948,2917
11/1/1948,2915
12/1/1948,2914
1/1/1949,2892
2/1/1949,2888
3/1/1949,2876
4/1/1949,2882
5/1/1949,2877
6/1/1949,2865
7/1/1949,2860
8/1/1949,2858
9/1/1949,2864
10/1/1949,2832
11/1/1949,2847
12/1/1949,2863
1/1/1950,2861
2/1/1950,2856
3/1/1950,2876
4/1/1950,2904
5/1/1950,2916
6/1/1950,2938
7/1/1950,2954
8/1/1950,2982
9/1/1950,2990
10/1/1950,3000
11/1/1950,3007
12/1/1950,3017
1/1/1951,3037
2/1/1951,3049
3/1/1951,3065
4/1/1951,3070
5/1/1951,3073
6/1/1951,3077
7/1/1951,3082
8/1/1951,3087
9/1/1951,3082
10/1/1951,3085
11/1/1951,3095
12/1/1951,3101
1/1/1952,3113
2/1/1952,3123
3/1/1952,3125
4/1/1952,3129
5/1/1952,3134
6/1/1952,3118
7/1/1952,3112
8/1/1952,3147
9/1/1952,3160
10/1/1952,3172
11/1/1952,3184
12/1/1952,3199
1/1/1953,3199
2/1/1953,3211
3/1/1953,3220
4/1/1953,3228
5/1/1953,3235
6/1/1953,3240
7/1/1953,3245
8/1/1953,3246
9/1/1953,3246
10/1/1953,3240
11/1/1953,3230
12/1/1953,3223
1/1/1954,3212
2/1/1954,3207
3/1/1954,3198
4/1/1954,3202
5/1/1954,3201
6/1/1954,3203
7/1/1954,3208
8/1/1954,3211
9/1/1954,3221
10/1/1954,3219
11/1/1954,3228
12/1/1954,3238
1/1/1955,3250
2/1/1955,3262
3/1/1955,3277
4/1/1955,3293
5/1/1955,3310
6/1/1955,3328
7/1/1955,3347
8/1/1955,3361
9/1/1955,3375
10/1/1955,3393
11/1/1955,3409
12/1/1955,3420
1/1/1956,3432
2/1/1956,3442
3/1/1956,3451
4/1/1956,3455
5/1/1956,3455
6/1/1956,3455
7/1/1956,3423
8/1/1956,3445
9/1/1956,3454
10/1/1956,3469
11/1/1956,3476
12/1/1956,3484
1/1/1957,3496
2/1/1957,3509
3/1/1957,3514
4/1/1957,3520
5/1/1957,3527
6/1/1957,3527
7/1/1957,3530
8/1/1957,3533
9/1/1957,3533
10/1/1957,3526
11/1/1957,3516
12/1/1957,3502
1/1/1958,3484
2/1/1958,3465
3/1/1958,3452
4/1/1958,3441
5/1/1958,3438
6/1/1958,3439
7/1/1958,3445
8/1/1958,3457
9/1/1958,3471
10/1/1958,3479
11/1/1958,3495
12/1/1958,3508
1/1/1959,3540
2/1/1959,3556
3/1/1959,3573
4/1/1959,3594
5/1/1959,3611
6/1/1959,3620
7/1/1959,3623
8/1/1959,3609
9/1/1959,3622
10/1/1959,3626
11/1/1959,3642
12/1/1959,3668
1/1/1960,3685
2/1/1960,3701
3/1/1960,3695
4/1/1960,3712
5/1/1960,3713
6/1/1960,3715
7/1/1960,3718
8/1/1960,3718
9/1/1960,3717
10/1/1960,3720
11/1/1960,3717
12/1/1960,3710
1/1/1961,3714
2/1/1961,3712
3/1/1961,3720
4/1/1961,3723
5/1/1961,3732
6/1/1961,3746
7/1/1961,3760
8/1/1961,3775
9/1/1961,3790
10/1/1961,3799
11/1/1961,3814
12/1/1961,3828
1/1/1962,3838
2/1/1962,3854
3/1/1962,3864
4/1/1962,3880
5/1/1962,3893
6/1/1962,3902
7/1/1962,3908
8/1/1962,3918
9/1/1962,3931
10/1/1962,3939
11/1/1962,3937
12/1/1962,3944
1/1/1963,3943
2/1/1963,3956
3/1/1963,3968
4/1/1963,3980
5/1/1963,3988
6/1/1963,4000
7/1/1963,4009
8/1/1963,4020
9/1/1963,4036
10/1/1963,4058
11/1/1963,4056
12/1/1963,4064
1/1/1964,4084
2/1/1964,4098
3/1/1964,4102
4/1/1964,4118
5/1/1964,4133
6/1/1964,4144
7/1/1964,4162
8/1/1964,4174
9/1/1964,4197
10/1/1964,4197
11/1/1964,4211
12/1/1964,4222
1/1/1965,4233
2/1/1965,4250
3/1/1965,4264
4/1/1965,4284
5/1/1965,4299
6/1/1965,4313
7/1/1965,4334
8/1/1965,4347
9/1/1965,4365
10/1/1965,4380
11/1/1965,4394
12/1/1965,4416
1/1/1966,4433
2/1/1966,4450
3/1/1966,4470
4/1/1966,4490
5/1/1966,4508
6/1/1966,4532
7/1/1966,4547
8/1/1966,4564
9/1/1966,4580
10/1/1966,4601
11/1/1966,4618
12/1/1966,4634
1/1/1967,4655
2/1/1967,4666
3/1/1967,4681
4/1/1967,4693
5/1/1967,4709
6/1/1967,4726
7/1/1967,4745
8/1/1967,4764
9/1/1967,4777
10/1/1967,4788
11/1/1967,4824
12/1/1967,4839
1/1/1968,4845
2/1/1968,4866
3/1/1968,4873
4/1/1968,4887
5/1/1968,4895
6/1/1968,4924
7/1/1968,4944
8/1/1968,4962
9/1/1968,4965
10/1/1968,5001
11/1/1968,5032
12/1/1968,5053
1/1/1969,5073
2/1/1969,5092
3/1/1969,5118
4/1/1969,5139
5/1/1969,5154
6/1/1969,5174
7/1/1969,5192
8/1/1969,5211
9/1/1969,5207
10/1/1969,5242
11/1/1969,5245
12/1/1969,5258
1/1/1970,5271
2/1/1970,5283
3/1/1970,5287
4/1/1970,5289
5/1/1970,5289
6/1/1970,5286
7/1/1970,5284
8/1/1970,5272
9/1/1970,5289
10/1/1970,5294
11/1/1970,5295
12/1/1970,5303
1/1/1971,5313
2/1/1971,5309
3/1/1971,5315
4/1/1971,5322
5/1/1971,5334
6/1/1971,5346
7/1/1971,5351
8/1/1971,5344
9/1/1971,5364
10/1/1971,5376
11/1/1971,5393
12/1/1971,5409
1/1/1972,5426
2/1/1972,5441
3/1/1972,5462
4/1/1972,5485
5/1/1972,5511
6/1/1972,5561
7/1/1972,5551
8/1/1972,5578
9/1/1972,5574
10/1/1972,5619
11/1/1972,5646
12/1/1972,5668
1/1/1973,5697
2/1/1973,5723
3/1/1973,5744
4/1/1973,5755
5/1/1973,5765
6/1/1973,5777
7/1/1973,5768
8/1/1973,5811
9/1/1973,5837
10/1/1973,5866
11/1/1973,5897
12/1/1973,5904
1/1/1974,5920
2/1/1974,5940
