DATE,USTRADE
1/1/1939,3107.8
2/1/1939,3121.8
3/1/1939,3139.7
4/1/1939,3154.8
5/1/1939,3151.7
6/1/1939,3152.9
7/1/1939,3165.8
8/1/1939,3165.9
9/1/1939,3185
10/1/1939,3186.1
11/1/1939,3192
12/1/1939,3178.1
1/1/1940,3233.5
2/1/1940,3250.8
3/1/1940,3336.7
4/1/1940,3279.1
5/1/1940,3303.7
6/1/1940,3324.9
7/1/1940,3318.9
8/1/1940,3331.5
9/1/1940,3366.1
10/1/1940,3370.1
11/1/1940,3379.8
12/1/1940,3411.1
1/1/1941,3408.6
2/1/1941,3436.5
3/1/1941,3458.1
4/1/1941,3570.6
5/1/1941,3519.9
6/1/1941,3560.1
7/1/1941,3593.6
8/1/1941,3624.1
9/1/1941,3632.5
10/1/1941,3615.1
11/1/1941,3615.3
12/1/1941,3606.7
1/1/1942,3592.6
2/1/1942,3579.5
3/1/1942,3566.7
4/1/1942,3542
5/1/1942,3535.8
6/1/1942,3503.1
7/1/1942,3490.9
8/1/1942,3494.6
9/1/1942,3493.5
10/1/1942,3508.8
11/1/1942,3498.8
12/1/1942,3479.8
1/1/1943,3473.4
2/1/1943,3466.2
3/1/1943,3465.7
4/1/1943,3505.9
5/1/1943,3474.8
6/1/1943,3495.3
7/1/1943,3490.1
8/1/1943,3481.6
9/1/1943,3478.9
10/1/1943,3492.7
11/1/1943,3508.5
12/1/1943,3448.8
1/1/1944,3507.3
2/1/1944,3507.2
3/1/1944,3508.4
4/1/1944,3498.1
5/1/1944,3505.4
6/1/1944,3508.5
7/1/1944,3528.4
8/1/1944,3533.3
9/1/1944,3529.8
10/1/1944,3540.8
11/1/1944,3544.6
12/1/1944,3496.1
1/1/1945,3572.8
2/1/1945,3582.3
3/1/1945,3612.9
4/1/1945,3522.1
5/1/1945,3575.6
6/1/1945,3581.8
7/1/1945,3600.9
8/1/1945,3613.9
9/1/1945,3665.2
10/1/1945,3696.2
11/1/1945,3742.5
12/1/1945,3722.3
1/1/1946,3880.6
2/1/1946,3946.1
3/1/1946,3995.1
4/1/1946,4066.2
5/1/1946,4080.3
6/1/1946,4110.7
7/1/1946,4145.3
8/1/1946,4202.8
9/1/1946,4209.7
10/1/1946,4223.4
11/1/1946,4282
12/1/1946,4265.6
1/1/1947,4282.1
2/1/1947,4296
3/1/1947,4326.2
4/1/1947,4334.8
5/1/1947,4368.6
6/1/1947,4391
7/1/1947,4410.6
8/1/1947,4416.4
9/1/1947,4440.2
10/1/1947,4469.7
11/1/1947,4478.7
12/1/1947,4481.8
1/1/1948,4490.5
2/1/1948,4489.4
3/1/1948,4503.4
4/1/1948,4469.8
5/1/1948,4512
6/1/1948,4530
7/1/1948,4543.9
8/1/1948,4545.2
9/1/1948,4544.7
10/1/1948,4544.5
11/1/1948,4547.2
12/1/1948,4552.6
1/1/1949,4535
2/1/1949,4536.2
3/1/1949,4525.6
4/1/1949,4586.8
5/1/1949,4531.8
6/1/1949,4516.8
7/1/1949,4500.5
8/1/1949,4496.1
9/1/1949,4519.2
10/1/1949,4498.4
11/1/1949,4485.1
12/1/1949,4509.8
1/1/1950,4496.5
2/1/1950,4497.6
3/1/1950,4512.6
4/1/1950,4531.8
5/1/1950,4546.5
6/1/1950,4571.9
7/1/1950,4595.1
8/1/1950,4639.7
9/1/1950,4639.8
10/1/1950,4640.5
11/1/1950,4643.7
12/1/1950,4651.9
1/1/1951,4696.6
2/1/1951,4722.4
3/1/1951,4799.2
4/1/1951,4676.4
5/1/1951,4756
6/1/1951,4767
7/1/1951,4771.5
8/1/1951,4775.9
9/1/1951,4774.4
10/1/1951,4774.3
11/1/1951,4794.3
12/1/1951,4799.2
1/1/1952,4805
2/1/1952,4812.7
3/1/1952,4804.7
4/1/1952,4842.8
5/1/1952,4849.5
6/1/1952,4863.6
7/1/1952,4881.7
8/1/1952,4896.1
9/1/1952,4922.7
10/1/1952,4946.7
11/1/1952,4964.5
12/1/1952,4979.9
1/1/1953,4981.6
2/1/1953,4998.8
3/1/1953,5017.4
4/1/1953,4958.1
5/1/1953,5019.9
6/1/1953,5025.9
7/1/1953,5025.1
8/1/1953,5029.2
9/1/1953,5024.1
10/1/1953,5040.4
11/1/1953,5025.4
12/1/1953,5010.1
1/1/1954,5010.5
2/1/1954,5006.7
3/1/1954,4973.1
4/1/1954,5022
5/1/1954,4993.1
6/1/1954,4984.5
7/1/1954,4993.4
8/1/1954,4993.5
9/1/1954,4990.8
10/1/1954,4991.7
11/1/1954,5002.2
12/1/1954,5027.2
1/1/1955,5040.2
2/1/1955,5049.7
3/1/1955,5082.2
